age,gender,municipality,education_level,main_activity,income_decile,income_bracket,language_group
0,Males,Espoo,3 Upper secondary education,0-14 years old,III,Low,Finnish-speaking population
72,Females,Turku,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
70,Males,Heinola,9 Basic education,Employed,VIII,High,Finnish-speaking population
0,Females,Espoo,3 Upper secondary education,0-14 years old,X,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
0,Females,Tornio,3-8 A post-comprehensive level qualification,0-14 years old,VIII,High,Finnish-speaking population
52,Males,Hämeenlinna,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
35,Males,Malax,3-8 A post-comprehensive level qualification,Employed,X,High,Swedish-speaking population
59,Males,Kouvola,6 Bachelor's or equivalent level,Pensioners,I,Low,Finnish-speaking population
0,Females,Sotkamo,5 Short-cycle tertiary education,Employed,I,Low,Finnish-speaking population
72,Females,Lahti,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
0,Females,Lappeenranta,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
11,Females,Ylivieska,3 Upper secondary education,Pensioners,III,Low,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
0,Males,Tampere,9 Basic education,Employed,II,Low,Finnish-speaking population
66,Males,Espoo,3 Upper secondary education,Labour force,V,Medium,Finnish-speaking population
0,Males,Lahti,3-8 A post-comprehensive level qualification,Unemployed,IX,High,Finnish-speaking population
28,Females,Turku,6 Bachelor's or equivalent level,Labour force,IV,Medium,Finnish-speaking population
0,Females,Pirkkala,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
0,Males,Porvoo,5 Short-cycle tertiary education,Persons outside the labour force,I,Low,Swedish-speaking population
0,Males,Jakobstad,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
63,Males,Kotka,3 Upper secondary education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Kemijärvi,6 Bachelor's or equivalent level,Pensioners,IV,Medium,Finnish-speaking population
18,Males,Leppävirta,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Kurikka,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Kaarina,9 Basic education,Employed,IV,Medium,Finnish-speaking population
23,Males,Jyväskylä,7 Master's or equivalent level,Employed,IX,High,Finnish-speaking population
0,Females,Ikaalinen,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
56,Males,Kemi,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
35,Males,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
0,Males,Turku,3 Upper secondary education,Employed,II,Low,Swedish-speaking population
0,Males,Orimattila,5 Short-cycle tertiary education,Employed,VII,Medium,Finnish-speaking population
30,Males,Helsinki,3-8 A post-comprehensive level qualification,0-14 years old,I,Low,Finnish-speaking population
77,Females,Pukkila,9 Basic education,Pensioners,VI,Medium,Finnish-speaking population
1,Males,Tampere,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Females,Hämeenlinna,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
38,Males,Helsinki,7 Master's or equivalent level,Labour force,IV,Medium,Finnish-speaking population
0,Males,Askola,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
43,Males,Espoo,9 Basic education,Employed,X,High,Finnish-speaking population
22,Females,Savonlinna,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
0,Females,Ylivieska,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
80,Females,Espoo,3 Upper secondary education,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Salo,3 Upper secondary education,Persons outside the labour force,VII,Medium,Finnish-speaking population
43,Females,Evijärvi,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Females,Nurmijärvi,5 Short-cycle tertiary education,Labour force,VII,Medium,Finnish-speaking population
24,Males,Sastamala,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
0,Females,Kauhava,9 Basic education,Employed,VIII,High,Finnish-speaking population
62,Males,Espoo,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Finnish-speaking population
11,Females,Nurmijärvi,9 Basic education,Labour force,III,Low,Finnish-speaking population
0,Males,Ylöjärvi,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
37,Females,Imatra,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
0,Males,Helsinki,9 Basic education,Persons outside the labour force,III,Low,Finnish-speaking population
88,Males,Helsinki,9 Basic education,Labour force,V,Medium,Finnish-speaking population
30,Males,Mikkeli,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Nurmijärvi,6 Bachelor's or equivalent level,Labour force,II,Low,Finnish-speaking population
78,Males,Somero,9 Basic education,Employed,IX,High,Finnish-speaking population
0,Females,Salo,9 Basic education,Persons outside the labour force,VI,Medium,Finnish-speaking population
2,Males,Turku,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
50,Females,Tampere,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
41,Males,Iisalmi,9 Basic education,0-14 years old,V,Medium,Finnish-speaking population
0,Males,Mikkeli,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Finnish-speaking population
0,Males,Jyväskylä,3 Upper secondary education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Kaarina,7 Master's or equivalent level,Employed,IX,High,Finnish-speaking population
42,Males,Vantaa,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Pornainen,9 Basic education,Employed,I,Low,Finnish-speaking population
79,Males,Vehmaa,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Kotka,6 Bachelor's or equivalent level,"Students, pupils",II,Low,Finnish-speaking population
78,Males,Lohja,9 Basic education,Other persons outside the labour force,VII,Medium,Finnish-speaking population
13,Females,Lahti,5 Short-cycle tertiary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Pensioners,IX,High,Finnish-speaking population
52,Males,Hämeenlinna,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
63,Females,Lieto,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Males,Espoo,6 Bachelor's or equivalent level,"Students, pupils",VII,Medium,Swedish-speaking population
0,Females,Vantaa,7 Master's or equivalent level,Labour force,VII,Medium,Finnish-speaking population
49,Males,Helsinki,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
37,Males,Helsinki,3 Upper secondary education,Employed,X,High,Finnish-speaking population
34,Males,Savonlinna,3-8 A post-comprehensive level qualification,"Students, pupils",IV,Medium,Finnish-speaking population
19,Females,Helsinki,3 Upper secondary education,Persons outside the labour force,III,Low,Finnish-speaking population
52,Females,Tuusula,3-8 A post-comprehensive level qualification,Pensioners,IV,Medium,Finnish-speaking population
73,Males,Riihimäki,3 Upper secondary education,0-14 years old,VIII,High,Finnish-speaking population
69,Females,Eura,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
0,Females,Porvoo,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
0,Females,Oulu,7 Master's or equivalent level,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Females,Sastamala,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
25,Males,Tampere,3-8 A post-comprehensive level qualification,Pensioners,I,Low,Finnish-speaking population
0,Females,Rauma,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
79,Males,Nokia,9 Basic education,Pensioners,III,Low,Finnish-speaking population
0,Females,Järvenpää,3-8 A post-comprehensive level qualification,Pensioners,III,Low,Finnish-speaking population
76,Females,Pyhäjärvi,5 Short-cycle tertiary education,Labour force,II,Low,Finnish-speaking population
53,Females,Vantaa,3 Upper secondary education,Pensioners,IX,High,Finnish-speaking population
28,Males,Nokia,3-8 A post-comprehensive level qualification,0-14 years old,II,Low,Finnish-speaking population
0,Females,Pirkkala,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
78,Males,Kuhmo,6 Bachelor's or equivalent level,Labour force,I,Low,Finnish-speaking population
38,Males,Sastamala,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
72,Females,Äänekoski,9 Basic education,Labour force,V,Medium,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
39,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
0,Females,Lohja,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
24,Males,Lahti,9 Basic education,0-14 years old,VI,Medium,Finnish-speaking population
7,Males,Mäntsälä,3 Upper secondary education,Pensioners,V,Medium,Finnish-speaking population
31,Males,Espoo,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
0,Females,Kolari,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Finnish-speaking population
0,Females,Nokia,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Females,Nokia,3 Upper secondary education,Labour force,VIII,High,Finnish-speaking population
0,Females,Perho,3-8 A post-comprehensive level qualification,Pensioners,III,Low,Finnish-speaking population
0,Females,Rauma,4 Post-secondary non-tertiary education,Employed,IV,Medium,Finnish-speaking population
35,Females,Oulu,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
55,Males,Sodankylä,3 Upper secondary education,Unemployed,V,Medium,Finnish-speaking population
0,Males,Oulu,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Lohja,3-8 A post-comprehensive level qualification,"Students, pupils",I,Low,Finnish-speaking population
0,Females,Oulainen,3 Upper secondary education,Labour force,I,Low,Finnish-speaking population
37,Males,Helsinki,5 Short-cycle tertiary education,Labour force,VII,Medium,Finnish-speaking population
0,Females,Joensuu,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
0,Females,Lieto,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
65,Females,Turku,6 Bachelor's or equivalent level,Unemployed,VI,Medium,Finnish-speaking population
35,Females,Pori,6 Bachelor's or equivalent level,Persons outside the labour force,VII,Medium,Finnish-speaking population
60,Females,Heinola,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
0,Males,Nurmijärvi,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
57,Males,Hyrynsalmi,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
37,Males,Rovaniemi,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
62,Females,Nurmijärvi,9 Basic education,Pensioners,IX,High,Finnish-speaking population
38,Females,Nurmijärvi,6 Bachelor's or equivalent level,Employed,VI,Medium,Finnish-speaking population
47,Females,Kajaani,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Males,Kuopio,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Turku,3-8 A post-comprehensive level qualification,Employed,VI,Medium,Finnish-speaking population
0,Females,Rautjärvi,9 Basic education,Persons outside the labour force,IV,Medium,Finnish-speaking population
28,Males,Lempäälä,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
76,Females,Keminmaa,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Males,Espoo,9 Basic education,0-14 years old,IX,High,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Employed,X,High,Finnish-speaking population
44,Males,Helsinki,9 Basic education,Labour force,VIII,High,Finnish-speaking population
0,Males,Kerava,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Vantaa,3 Upper secondary education,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Lappeenranta,3-8 A post-comprehensive level qualification,"Students, pupils",X,High,Finnish-speaking population
0,Males,Hämeenlinna,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
0,Males,Kajaani,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Females,Tampere,7 Master's or equivalent level,Labour force,V,Medium,Finnish-speaking population
18,Females,Kirkkonummi,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
63,Females,Seinäjoki,3 Upper secondary education,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Tammela,3 Upper secondary education,Employed,VI,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Females,Oulu,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
37,Males,Vantaa,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
77,Males,Kokkola,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
58,Females,Espoo,9 Basic education,Persons outside the labour force,III,Low,Swedish-speaking population
41,Males,Valkeakoski,5 Short-cycle tertiary education,Employed,IX,High,Finnish-speaking population
0,Males,Turku,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
0,Females,Leppävirta,5 Short-cycle tertiary education,Employed,IX,High,Finnish-speaking population
7,Males,Masku,3 Upper secondary education,"Students, pupils",IV,Medium,Finnish-speaking population
27,Males,Helsinki,3-8 A post-comprehensive level qualification,"Students, pupils",IX,High,Finnish-speaking population
13,Males,Tampere,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Lappeenranta,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Pensioners,VIII,High,Finnish-speaking population
7,Males,Porvoo,9 Basic education,Employed,IX,High,Finnish-speaking population
0,Males,Vantaa,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
9,Females,Tampere,3-8 A post-comprehensive level qualification,"Students, pupils",VIII,High,Finnish-speaking population
0,Females,Joensuu,3 Upper secondary education,Pensioners,III,Low,Finnish-speaking population
0,Males,Espoo,3 Upper secondary education,0-14 years old,X,High,Finnish-speaking population
60,Females,Vantaa,9 Basic education,Employed,III,Low,Finnish-speaking population
28,Males,Vantaa,3-8 A post-comprehensive level qualification,0-14 years old,III,Low,Finnish-speaking population
65,Males,Lohja,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Oulu,3 Upper secondary education,Employed,VII,Medium,Finnish-speaking population
0,Males,Kurikka,3 Upper secondary education,Pensioners,III,Low,Finnish-speaking population
26,Females,Kotka,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
48,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Helsinki,9 Basic education,"Students, pupils",VIII,High,Finnish-speaking population
51,Males,Hämeenlinna,3 Upper secondary education,Persons outside the labour force,V,Medium,Finnish-speaking population
49,Females,Tampere,7 Master's or equivalent level,Persons outside the labour force,VII,Medium,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Females,Hyvinkää,3-8 A post-comprehensive level qualification,0-14 years old,V,Medium,Finnish-speaking population
43,Males,Malax,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Swedish-speaking population
0,Females,Hirvensalmi,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Swedish-speaking population
18,Males,Muhos,3 Upper secondary education,Employed,V,Medium,Finnish-speaking population
0,Females,Keminmaa,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VII,Medium,Finnish-speaking population
31,Females,Oulu,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
53,Females,Vaasa,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
0,Males,Helsinki,6 Bachelor's or equivalent level,0-14 years old,IX,High,Finnish-speaking population
0,Males,Vaasa,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
48,Males,Tyrnävä,9 Basic education,Labour force,VI,Medium,Finnish-speaking population
70,Females,Tampere,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
26,Males,Oulu,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
26,Males,Oulu,3 Upper secondary education,Labour force,X,High,Finnish-speaking population
0,Females,Oulu,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
61,Males,Porvoo,3-8 A post-comprehensive level qualification,"Students, pupils",V,Medium,Finnish-speaking population
63,Females,Espoo,7 Master's or equivalent level,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Vantaa,5 Short-cycle tertiary education,Unemployed,V,Medium,Finnish-speaking population
0,Females,Nokia,9 Basic education,Employed,VIII,High,Finnish-speaking population
38,Males,Siilinjärvi,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
0,Males,Kerava,3-8 A post-comprehensive level qualification,Unemployed,IV,Medium,Finnish-speaking population
49,Females,Espoo,3 Upper secondary education,0-14 years old,IV,Medium,Finnish-speaking population
13,Females,Lapua,9 Basic education,Pensioners,V,Medium,Finnish-speaking population
55,Females,Lappeenranta,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
73,Males,Kuhmo,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
0,Males,Kajaani,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Iitti,9 Basic education,Pensioners,X,High,Finnish-speaking population
50,Females,Lieto,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
56,Females,Kerava,6 Bachelor's or equivalent level,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Vantaa,3-8 A post-comprehensive level qualification,"Students, pupils",VII,Medium,Swedish-speaking population
6,Females,Helsinki,3 Upper secondary education,Unemployed,X,High,Finnish-speaking population
31,Females,Järvenpää,3 Upper secondary education,Pensioners,V,Medium,Finnish-speaking population
0,Females,Jyväskylä,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
68,Males,Loppi,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
50,Males,Lappeenranta,3 Upper secondary education,Pensioners,IV,Medium,Finnish-speaking population
23,Females,Oulu,3 Upper secondary education,Pensioners,II,Low,Finnish-speaking population
0,Males,Vantaa,3 Upper secondary education,Persons outside the labour force,VI,Medium,Finnish-speaking population
60,Males,Joroinen,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
17,Females,Pudasjärvi,3 Upper secondary education,Employed,I,Low,Finnish-speaking population
76,Males,Espoo,3 Upper secondary education,Employed,X,High,Finnish-speaking population
0,Males,Jakobstad,3 Upper secondary education,Persons outside the labour force,III,Low,Finnish-speaking population
33,Males,Kurikka,3-8 A post-comprehensive level qualification,Unemployed,VI,Medium,Finnish-speaking population
0,Males,Espoo,9 Basic education,0-14 years old,I,Low,Finnish-speaking population
14,Females,Oulu,3 Upper secondary education,Labour force,I,Low,Finnish-speaking population
0,Males,Pori,3-8 A post-comprehensive level qualification,"Students, pupils",IV,Medium,Finnish-speaking population
39,Females,Salo,3-8 A post-comprehensive level qualification,Pensioners,I,Low,Finnish-speaking population
22,Males,Lempäälä,3-8 A post-comprehensive level qualification,0-14 years old,VIII,High,Finnish-speaking population
0,Males,Orimattila,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
49,Females,Kokkola,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Swedish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Pedersöre,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Swedish-speaking population
77,Males,Ylöjärvi,3 Upper secondary education,Other persons outside the labour force,VIII,High,Finnish-speaking population
0,Females,Espoo,3 Upper secondary education,"Students, pupils",V,Medium,Finnish-speaking population
0,Females,Mikkeli,6 Bachelor's or equivalent level,Labour force,III,Low,Finnish-speaking population
52,Males,Salo,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
62,Males,Loviisa,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Oulu,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
0,Males,Pyhäjärvi,9 Basic education,Persons outside the labour force,IV,Medium,Finnish-speaking population
34,Females,Turku,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Finnish-speaking population
42,Females,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,VIII,High,Finnish-speaking population
52,Males,Valkeakoski,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Labour force,X,High,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,"Students, pupils",II,Low,Finnish-speaking population
0,Females,Haapavesi,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,X,High,Finnish-speaking population
0,Males,Alajärvi,3 Upper secondary education,Pensioners,V,Medium,Finnish-speaking population
0,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
71,Females,Kajaani,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Helsinki,5 Short-cycle tertiary education,Labour force,I,Low,Finnish-speaking population
30,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Kokkola,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
0,Females,Seinäjoki,3 Upper secondary education,Employed,VII,Medium,Finnish-speaking population
0,Males,Turku,3-8 A post-comprehensive level qualification,Persons outside the labour force,VII,Medium,Finnish-speaking population
0,Males,Parikkala,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
0,Females,Helsinki,7 Master's or equivalent level,Other persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Jyväskylä,3-8 A post-comprehensive level qualification,Persons outside the labour force,VII,Medium,Finnish-speaking population
31,Males,Vaasa,5 Short-cycle tertiary education,0-14 years old,IX,High,Swedish-speaking population
70,Males,Heinola,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Kontiolahti,5 Short-cycle tertiary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Vantaa,3 Upper secondary education,Labour force,VIII,High,Finnish-speaking population
0,Females,Vantaa,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
0,Females,Korsholm,3-8 A post-comprehensive level qualification,Labour force,I,Low,Swedish-speaking population
0,Females,Pori,3 Upper secondary education,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Kuopio,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
0,Females,Salo,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,"Students, pupils",III,Low,Finnish-speaking population
4,Males,Oulu,3-8 A post-comprehensive level qualification,Labour force,X,High,Finnish-speaking population
0,Females,Hämeenlinna,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Pirkkala,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
0,Males,Kannonkoski,6 Bachelor's or equivalent level,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
0,Males,Tampere,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Laitila,3 Upper secondary education,Pensioners,X,High,Finnish-speaking population
23,Males,Seinäjoki,3 Upper secondary education,Employed,VII,Medium,Finnish-speaking population
0,Males,Joensuu,7 Master's or equivalent level,Employed,IV,Medium,Finnish-speaking population
0,Males,Lapinlahti,3-8 A post-comprehensive level qualification,0-14 years old,I,Low,Finnish-speaking population
0,Males,Helsinki,5 Short-cycle tertiary education,Unemployed,X,High,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,"Students, pupils",IV,Medium,Finnish-speaking population
0,Females,Tampere,3 Upper secondary education,Employed,II,Low,Finnish-speaking population
17,Males,Tyrnävä,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Turku,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Females,Vantaa,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
0,Males,Hyvinkää,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Vantaa,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
46,Males,Mäntsälä,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
69,Males,Kouvola,9 Basic education,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Mikkeli,9 Basic education,0-14 years old,X,High,Finnish-speaking population
0,Males,Kangasala,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Jyväskylä,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
14,Females,Hämeenlinna,9 Basic education,Labour force,VI,Medium,Finnish-speaking population
47,Males,Hankasalmi,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Lappeenranta,5 Short-cycle tertiary education,Persons outside the labour force,VII,Medium,Finnish-speaking population
28,Males,Turku,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
3,Males,Oulu,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
56,Females,Leppävirta,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
92,Males,Kouvola,9 Basic education,"Students, pupils",VII,Medium,Finnish-speaking population
0,Females,Kurikka,3 Upper secondary education,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Helsinki,6 Bachelor's or equivalent level,0-14 years old,X,High,Swedish-speaking population
0,Males,Tampere,3 Upper secondary education,Labour force,VI,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,"Students, pupils",X,High,Finnish-speaking population
0,Females,Rauma,3 Upper secondary education,Employed,V,Medium,Finnish-speaking population
0,Females,Savitaipale,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
