Area,Activity,value
Karkkila,"Conscripts, persons in non-military service",14.0
Karkkila,Pensioners,2609.0
Karkkila,Other persons outside the labour force,245.0
Karstula,Total,3573.0
Karstula,Labour force,1426.0
Karstula,Employed,1253.0
Karstula,Unemployed,173.0
Karstula,Persons outside the labour force,2147.0
Karstula,0-14 years old,371.0
Karstula,"Students, pupils",190.0
Karstula,"Conscripts, persons in non-military service",1.0
Karstula,Pensioners,1509.0
Karstula,Other persons outside the labour force,76.0
Karvia,Total,2170.0
Karvia,Labour force,919.0
Karvia,Employed,829.0
Karvia,Unemployed,90.0
Karvia,Persons outside the labour force,1251.0
Karvia,0-14 years old,263.0
Karvia,"Students, pupils",84.0
Karvia,"Conscripts, persons in non-military service",2.0
Karvia,Pensioners,849.0
Karvia,Other persons outside the labour force,53.0
Kaskinen,Total,1241.0
Kaskinen,Labour force,474.0
Kaskinen,Employed,423.0
Kaskinen,Unemployed,51.0
Kaskinen,Persons outside the labour force,767.0
Kaskinen,0-14 years old,158.0
Kaskinen,"Students, pupils",42.0
Kaskinen,"Conscripts, persons in non-military service",3.0
Kaskinen,Pensioners,530.0
Kaskinen,Other persons outside the labour force,34.0
Kauhajoki,Total,12518.0
Kauhajoki,Labour force,5428.0
Kauhajoki,Employed,4850.0
Kauhajoki,Unemployed,578.0
Kauhajoki,Persons outside the labour force,7090.0
Kauhajoki,0-14 years old,1729.0
Kauhajoki,"Students, pupils",762.0
Kauhajoki,"Conscripts, persons in non-military service",18.0
Kauhajoki,Pensioners,4221.0
Kauhajoki,Other persons outside the labour force,360.0
Kauhava,Total,15050.0
Kauhava,Labour force,6544.0
Kauhava,Employed,6042.0
Kauhava,Unemployed,502.0
Kauhava,Persons outside the labour force,8506.0
Kauhava,0-14 years old,2064.0
Kauhava,"Students, pupils",876.0
Kauhava,"Conscripts, persons in non-military service",36.0
Kauhava,Pensioners,5095.0
Kauhava,Other persons outside the labour force,435.0
Kauniainen,Total,10253.0
Kauniainen,Labour force,4774.0
Kauniainen,Employed,4419.0
Kauniainen,Unemployed,355.0
Kauniainen,Persons outside the labour force,5479.0
Kauniainen,0-14 years old,1765.0
Kauniainen,"Students, pupils",920.0
Kauniainen,"Conscripts, persons in non-military service",27.0
Kauniainen,Pensioners,2412.0
Kauniainen,Other persons outside the labour force,355.0
Kaustinen,Total,4118.0
Kaustinen,Labour force,1917.0
Kaustinen,Employed,1765.0
Kaustinen,Unemployed,152.0
Kaustinen,Persons outside the labour force,2201.0
Kaustinen,0-14 years old,702.0
Kaustinen,"Students, pupils",261.0
Kaustinen,"Conscripts, persons in non-military service",6.0
Kaustinen,Pensioners,1156.0
Kaustinen,Other persons outside the labour force,76.0
Keitele,Total,1985.0
Keitele,Labour force,760.0
Keitele,Employed,670.0
Keitele,Unemployed,90.0
Keitele,Persons outside the labour force,1225.0
Keitele,0-14 years old,208.0
Keitele,"Students, pupils",80.0
Keitele,"Conscripts, persons in non-military service",4.0
Keitele,Pensioners,885.0
Keitele,Other persons outside the labour force,48.0
Kemi,Total,19402.0
Kemi,Labour force,8098.0
Kemi,Employed,6814.0
Kemi,Unemployed,1284.0
Kemi,Persons outside the labour force,11304.0
Kemi,0-14 years old,2535.0
Kemi,"Students, pupils",1328.0
Kemi,"Conscripts, persons in non-military service",20.0
Kemi,Pensioners,6868.0
Kemi,Other persons outside the labour force,553.0
Kemijärvi,Total,6954.0
Kemijärvi,Labour force,2717.0
Kemijärvi,Employed,2293.0
Kemijärvi,Unemployed,424.0
Kemijärvi,Persons outside the labour force,4237.0
Kemijärvi,0-14 years old,665.0
Kemijärvi,"Students, pupils",246.0
Kemijärvi,"Conscripts, persons in non-military service",6.0
Kemijärvi,Pensioners,3133.0
Kemijärvi,Other persons outside the labour force,187.0
Keminmaa,Total,7604.0
Keminmaa,Labour force,3474.0
Keminmaa,Employed,3176.0
Keminmaa,Unemployed,298.0
Keminmaa,Persons outside the labour force,4130.0
Keminmaa,0-14 years old,1161.0
Keminmaa,"Students, pupils",447.0
Keminmaa,"Conscripts, persons in non-military service",7.0
Keminmaa,Pensioners,2375.0
Keminmaa,Other persons outside the labour force,140.0
Kimitoön,Total,6371.0
Kimitoön,Labour force,2679.0
Kimitoön,Employed,2483.0
Kimitoön,Unemployed,196.0
Kimitoön,Persons outside the labour force,3692.0
Kimitoön,0-14 years old,724.0
Kimitoön,"Students, pupils",283.0
Kimitoön,"Conscripts, persons in non-military service",5.0
Kimitoön,Pensioners,2492.0
Kimitoön,Other persons outside the labour force,188.0
Kempele,Total,19657.0
Kempele,Labour force,9643.0
Kempele,Employed,8699.0
Kempele,Unemployed,944.0
Kempele,Persons outside the labour force,10014.0
Kempele,0-14 years old,4374.0
Kempele,"Students, pupils",1537.0
Kempele,"Conscripts, persons in non-military service",22.0
Kempele,Pensioners,3780.0
Kempele,Other persons outside the labour force,301.0
Kerava,Total,38461.0
Kerava,Labour force,19558.0
Kerava,Employed,17162.0
Kerava,Unemployed,2396.0
Kerava,Persons outside the labour force,18903.0
Kerava,0-14 years old,5896.0
Kerava,"Students, pupils",2937.0
Kerava,"Conscripts, persons in non-military service",62.0
Kerava,Pensioners,8692.0
Kerava,Other persons outside the labour force,1316.0
Keuruu,Total,9128.0
Keuruu,Labour force,3633.0
Keuruu,Employed,3185.0
Keuruu,Unemployed,448.0
Keuruu,Persons outside the labour force,5495.0
Keuruu,0-14 years old,1105.0
Keuruu,"Students, pupils",468.0
Keuruu,"Conscripts, persons in non-military service",14.0
Keuruu,Pensioners,3611.0
Keuruu,Other persons outside the labour force,297.0
Kihniö,Total,1703.0
Kihniö,Labour force,692.0
Kihniö,Employed,636.0
Kihniö,Unemployed,56.0
Kihniö,Persons outside the labour force,1011.0
Kihniö,0-14 years old,198.0
Kihniö,"Students, pupils",65.0
Kihniö,"Conscripts, persons in non-military service",1.0
Kihniö,Pensioners,709.0
Kihniö,Other persons outside the labour force,38.0
Kinnula,Total,1492.0
Kinnula,Labour force,543.0
Kinnula,Employed,465.0
Kinnula,Unemployed,78.0
Kinnula,Persons outside the labour force,949.0
Kinnula,0-14 years old,257.0
Kinnula,"Students, pupils",82.0
Kinnula,"Conscripts, persons in non-military service",2.0
Kinnula,Pensioners,582.0
Kinnula,Other persons outside the labour force,26.0
Kirkkonummi,Total,41635.0
Kirkkonummi,Labour force,21866.0
Kirkkonummi,Employed,19853.0
Kirkkonummi,Unemployed,2013.0
Kirkkonummi,Persons outside the labour force,19769.0
Kirkkonummi,0-14 years old,7112.0
Kirkkonummi,"Students, pupils",3199.0
Kirkkonummi,"Conscripts, persons in non-military service",71.0
Kirkkonummi,Pensioners,7972.0
Kirkkonummi,Other persons outside the labour force,1415.0
Kitee,Total,9566.0
Kitee,Labour force,3617.0
Kitee,Employed,2949.0
Kitee,Unemployed,668.0
Kitee,Persons outside the labour force,5949.0
Kitee,0-14 years old,996.0
Kitee,"Students, pupils",496.0
Kitee,"Conscripts, persons in non-military service",3.0
Kitee,Pensioners,4229.0
Kitee,Other persons outside the labour force,225.0
Kittilä,Total,6837.0
Kittilä,Labour force,3849.0
Kittilä,Employed,3622.0
Kittilä,Unemployed,227.0
Kittilä,Persons outside the labour force,2988.0
Kittilä,0-14 years old,970.0
Kittilä,"Students, pupils",284.0
Kittilä,"Conscripts, persons in non-military service",8.0
Kittilä,Pensioners,1578.0
Kittilä,Other persons outside the labour force,148.0
Kiuruvesi,Total,7354.0
Kiuruvesi,Labour force,3067.0
Kiuruvesi,Employed,2676.0
Kiuruvesi,Unemployed,391.0
Kiuruvesi,Persons outside the labour force,4287.0
Kiuruvesi,0-14 years old,1022.0
Kiuruvesi,"Students, pupils",367.0
Kiuruvesi,"Conscripts, persons in non-military service",8.0
Kiuruvesi,Pensioners,2743.0
Kiuruvesi,Other persons outside the labour force,147.0
Kivijärvi,Total,1011.0
Kivijärvi,Labour force,370.0
Kivijärvi,Employed,315.0
Kivijärvi,Unemployed,55.0
Kivijärvi,Persons outside the labour force,641.0
Kivijärvi,0-14 years old,120.0
Kivijärvi,"Students, pupils",48.0
Kivijärvi,"Conscripts, persons in non-military service",2.0
Kivijärvi,Pensioners,441.0
Kivijärvi,Other persons outside the labour force,30.0
Kokemäki,Total,6668.0
Kokemäki,Labour force,2881.0
Kokemäki,Employed,2545.0
Kokemäki,Unemployed,336.0
Kokemäki,Persons outside the labour force,3787.0
Kokemäki,0-14 years old,787.0
Kokemäki,"Students, pupils",381.0
Kokemäki,"Conscripts, persons in non-military service",10.0
Kokemäki,Pensioners,2415.0
Kokemäki,Other persons outside the labour force,194.0
Kokkola,Total,48367.0
Kokkola,Labour force,22548.0
Kokkola,Employed,20420.0
Kokkola,Unemployed,2128.0
Kokkola,Persons outside the labour force,25819.0
Kokkola,0-14 years old,8499.0
Kokkola,"Students, pupils",3757.0
Kokkola,"Conscripts, persons in non-military service",56.0
Kokkola,Pensioners,12300.0
Kokkola,Other persons outside the labour force,1207.0
Kolari,Total,3987.0
Kolari,Labour force,1926.0
Kolari,Employed,1778.0
Kolari,Unemployed,148.0
Kolari,Persons outside the labour force,2061.0
Kolari,0-14 years old,606.0
Kolari,"Students, pupils",184.0
Kolari,"Conscripts, persons in non-military service",2.0
Kolari,Pensioners,1182.0
Kolari,Other persons outside the labour force,87.0
Konnevesi,Total,2441.0
Konnevesi,Labour force,1014.0
Konnevesi,Employed,856.0
Konnevesi,Unemployed,158.0
Konnevesi,Persons outside the labour force,1427.0
Konnevesi,0-14 years old,298.0
Konnevesi,"Students, pupils",128.0
Konnevesi,"Conscripts, persons in non-military service",2.0
Konnevesi,Pensioners,961.0
Konnevesi,Other persons outside the labour force,38.0
Kontiolahti,Total,15071.0
Kontiolahti,Labour force,7521.0
Kontiolahti,Employed,6699.0
Kontiolahti,Unemployed,822.0
Kontiolahti,Persons outside the labour force,7550.0
Kontiolahti,0-14 years old,2984.0
Kontiolahti,"Students, pupils",1048.0
Kontiolahti,"Conscripts, persons in non-military service",21.0
Kontiolahti,Pensioners,3221.0
Kontiolahti,Other persons outside the labour force,276.0
Korsnäs,Total,1986.0
Korsnäs,Labour force,934.0
Korsnäs,Employed,864.0
Korsnäs,Unemployed,70.0
Korsnäs,Persons outside the labour force,1052.0
Korsnäs,0-14 years old,268.0
Korsnäs,"Students, pupils",107.0
Korsnäs,"Conscripts, persons in non-military service",1.0
Korsnäs,Pensioners,646.0
Korsnäs,Other persons outside the labour force,30.0
Koski Tl,Total,2186.0
Koski Tl,Labour force,922.0
Koski Tl,Employed,833.0
Koski Tl,Unemployed,89.0
Koski Tl,Persons outside the labour force,1264.0
Koski Tl,0-14 years old,269.0
Koski Tl,"Students, pupils",121.0
Koski Tl,"Conscripts, persons in non-military service",5.0
Koski Tl,Pensioners,808.0
Koski Tl,Other persons outside the labour force,61.0
Kotka,Total,50210.0
Kotka,Labour force,22636.0
Kotka,Employed,19009.0
Kotka,Unemployed,3627.0
Kotka,Persons outside the labour force,27574.0
Kotka,0-14 years old,5933.0
Kotka,"Students, pupils",3544.0
Kotka,"Conscripts, persons in non-military service",86.0
Kotka,Pensioners,16389.0
Kotka,Other persons outside the labour force,1622.0
Kouvola,Total,78386.0
Kouvola,Labour force,35274.0
Kouvola,Employed,30292.0
Kouvola,Unemployed,4982.0
Kouvola,Persons outside the labour force,43112.0
Kouvola,0-14 years old,9446.0
Kouvola,"Students, pupils",4773.0
Kouvola,"Conscripts, persons in non-military service",95.0
Kouvola,Pensioners,26625.0
Kouvola,Other persons outside the labour force,2173.0
Kristinestad,Total,6121.0
Kristinestad,Labour force,2508.0
Kristinestad,Employed,2353.0
Kristinestad,Unemployed,155.0
Kristinestad,Persons outside the labour force,3613.0
Kristinestad,0-14 years old,745.0
Kristinestad,"Students, pupils",269.0
Kristinestad,"Conscripts, persons in non-military service",4.0
Kristinestad,Pensioners,2438.0
Kristinestad,Other persons outside the labour force,157.0
Kronoby,Total,6342.0
Kronoby,Labour force,2981.0
Kronoby,Employed,2807.0
Kronoby,Unemployed,174.0
Kronoby,Persons outside the labour force,3361.0
Kronoby,0-14 years old,1024.0
Kronoby,"Students, pupils",401.0
Kronoby,"Conscripts, persons in non-military service",3.0
Kronoby,Pensioners,1778.0
Kronoby,Other persons outside the labour force,155.0
Kuhmo,Total,7483.0
Kuhmo,Labour force,2905.0
Kuhmo,Employed,2500.0
Kuhmo,Unemployed,405.0
Kuhmo,Persons outside the labour force,4578.0
Kuhmo,0-14 years old,713.0
Kuhmo,"Students, pupils",329.0
Kuhmo,"Conscripts, persons in non-military service",6.0
Kuhmo,Pensioners,3376.0
Kuhmo,Other persons outside the labour force,154.0
Kuhmoinen,Total,2038.0
Kuhmoinen,Labour force,725.0
Kuhmoinen,Employed,648.0
Kuhmoinen,Unemployed,77.0
Kuhmoinen,Persons outside the labour force,1313.0
Kuhmoinen,0-14 years old,165.0
Kuhmoinen,"Students, pupils",73.0
Kuhmoinen,"Conscripts, persons in non-military service",0.0
Kuhmoinen,Pensioners,1019.0
Kuhmoinen,Other persons outside the labour force,56.0
Kumlinge,Total,273.0
Kumlinge,Labour force,125.0
Kumlinge,Employed,121.0
Kumlinge,Unemployed,4.0
Kumlinge,Persons outside the labour force,148.0
Kumlinge,0-14 years old,22.0
Kumlinge,"Students, pupils",9.0
Kumlinge,"Conscripts, persons in non-military service",0.0
Kumlinge,Pensioners,111.0
Kumlinge,Other persons outside the labour force,6.0
Kuopio,Total,125666.0
Kuopio,Labour force,61568.0
Kuopio,Employed,54060.0
Kuopio,Unemployed,7508.0
Kuopio,Persons outside the labour force,64098.0
Kuopio,0-14 years old,17448.0
Kuopio,"Students, pupils",11889.0
Kuopio,"Conscripts, persons in non-military service",194.0
Kuopio,Pensioners,31727.0
Kuopio,Other persons outside the labour force,2840.0
Kuortane,Total,3335.0
Kuortane,Labour force,1429.0
Kuortane,Employed,1345.0
Kuortane,Unemployed,84.0
Kuortane,Persons outside the labour force,1906.0
Kuortane,0-14 years old,402.0
Kuortane,"Students, pupils",229.0
Kuortane,"Conscripts, persons in non-military service",3.0
Kuortane,Pensioners,1194.0
Kuortane,Other persons outside the labour force,78.0
Kurikka,Total,19509.0
Kurikka,Labour force,8322.0
Kurikka,Employed,7620.0
Kurikka,Unemployed,702.0
Kurikka,Persons outside the labour force,11187.0
Kurikka,0-14 years old,2708.0
Kurikka,"Students, pupils",1118.0
Kurikka,"Conscripts, persons in non-military service",47.0
Kurikka,Pensioners,6814.0
Kurikka,Other persons outside the labour force,500.0
Kustavi,Total,970.0
Kustavi,Labour force,410.0
Kustavi,Employed,364.0
Kustavi,Unemployed,46.0
Kustavi,Persons outside the labour force,560.0
Kustavi,0-14 years old,71.0
Kustavi,"Students, pupils",26.0
Kustavi,"Conscripts, persons in non-military service",0.0
Kustavi,Pensioners,431.0
Kustavi,Other persons outside the labour force,32.0
Kuusamo,Total,14876.0
Kuusamo,Labour force,6583.0
Kuusamo,Employed,5772.0
Kuusamo,Unemployed,811.0
Kuusamo,Persons outside the labour force,8293.0
Kuusamo,0-14 years old,2032.0
Kuusamo,"Students, pupils",795.0
Kuusamo,"Conscripts, persons in non-military service",14.0
Kuusamo,Pensioners,5117.0
Kuusamo,Other persons outside the labour force,335.0
Kyyjärvi,Total,1155.0
Kyyjärvi,Labour force,404.0
Kyyjärvi,Employed,366.0
Kyyjärvi,Unemployed,38.0
Kyyjärvi,Persons outside the labour force,751.0
Kyyjärvi,0-14 years old,179.0
Kyyjärvi,"Students, pupils",47.0
Kyyjärvi,"Conscripts, persons in non-military service",1.0
Kyyjärvi,Pensioners,497.0
Kyyjärvi,Other persons outside the labour force,27.0
Kärkölä,Total,4093.0
Kärkölä,Labour force,1900.0
Kärkölä,Employed,1642.0
Kärkölä,Unemployed,258.0
Kärkölä,Persons outside the labour force,2193.0
Kärkölä,0-14 years old,490.0
Kärkölä,"Students, pupils",200.0
Kärkölä,"Conscripts, persons in non-military service",9.0
Kärkölä,Pensioners,1354.0
Kärkölä,Other persons outside the labour force,140.0
Kärsämäki,Total,2373.0
Kärsämäki,Labour force,966.0
Kärsämäki,Employed,858.0
Kärsämäki,Unemployed,108.0
Kärsämäki,Persons outside the labour force,1407.0
Kärsämäki,0-14 years old,396.0
Kärsämäki,"Students, pupils",146.0
Kärsämäki,"Conscripts, persons in non-military service",2.0
Kärsämäki,Pensioners,826.0
Kärsämäki,Other persons outside the labour force,37.0
Kökar,Total,227.0
Kökar,Labour force,104.0
Kökar,Employed,98.0
Kökar,Unemployed,6.0
Kökar,Persons outside the labour force,123.0
Kökar,0-14 years old,12.0
Kökar,"Students, pupils",13.0
Kökar,"Conscripts, persons in non-military service",0.0
Kökar,Pensioners,78.0
Kökar,Other persons outside the labour force,20.0
Lahti,Total,121337.0
Lahti,Labour force,57254.0
Lahti,Employed,48226.0
Lahti,Unemployed,9028.0
Lahti,Persons outside the labour force,64083.0
Lahti,0-14 years old,16216.0
Lahti,"Students, pupils",9718.0
Lahti,"Conscripts, persons in non-military service",209.0
Lahti,Pensioners,33912.0
Lahti,Other persons outside the labour force,4028.0
Laihia,Total,7656.0
Laihia,Labour force,3604.0
Laihia,Employed,3354.0
Laihia,Unemployed,250.0
Laihia,Persons outside the labour force,4052.0
Laihia,0-14 years old,1338.0
Laihia,"Students, pupils",489.0
Laihia,"Conscripts, persons in non-military service",17.0
Laihia,Pensioners,2081.0
Laihia,Other persons outside the labour force,127.0
Laitila,Total,8479.0
Laitila,Labour force,3949.0
Laitila,Employed,3586.0
Laitila,Unemployed,363.0
Laitila,Persons outside the labour force,4530.0
Laitila,0-14 years old,1314.0
Laitila,"Students, pupils",519.0
Laitila,"Conscripts, persons in non-military service",11.0
Laitila,Pensioners,2414.0
Laitila,Other persons outside the labour force,272.0
Lapinjärvi,Total,2429.0
Lapinjärvi,Labour force,1115.0
Lapinjärvi,Employed,1007.0
Lapinjärvi,Unemployed,108.0
Lapinjärvi,Persons outside the labour force,1314.0
Lapinjärvi,0-14 years old,306.0
Lapinjärvi,"Students, pupils",118.0
Lapinjärvi,"Conscripts, persons in non-military service",5.0
Lapinjärvi,Pensioners,805.0
Lapinjärvi,Other persons outside the labour force,80.0
Lapinlahti,Total,8865.0
Lapinlahti,Labour force,3904.0
Lapinlahti,Employed,3469.0
Lapinlahti,Unemployed,435.0
Lapinlahti,Persons outside the labour force,4961.0
Lapinlahti,0-14 years old,1186.0
Lapinlahti,"Students, pupils",546.0
Lapinlahti,"Conscripts, persons in non-military service",8.0
Lapinlahti,Pensioners,3053.0
Lapinlahti,Other persons outside the labour force,168.0
Lappajärvi,Total,2758.0
Lappajärvi,Labour force,986.0
Lappajärvi,Employed,907.0
Lappajärvi,Unemployed,79.0
Lappajärvi,Persons outside the labour force,1772.0
Lappajärvi,0-14 years old,366.0
Lappajärvi,"Students, pupils",183.0
Lappajärvi,"Conscripts, persons in non-military service",4.0
Lappajärvi,Pensioners,1157.0
Lappajärvi,Other persons outside the labour force,62.0
Lappeenranta,Total,73327.0
Lappeenranta,Labour force,33890.0
Lappeenranta,Employed,29204.0
Lappeenranta,Unemployed,4686.0
Lappeenranta,Persons outside the labour force,39437.0
Lappeenranta,0-14 years old,9272.0
Lappeenranta,"Students, pupils",7293.0
Lappeenranta,"Conscripts, persons in non-military service",119.0
Lappeenranta,Pensioners,20236.0
Lappeenranta,Other persons outside the labour force,2517.0
Lapua,Total,14028.0
Lapua,Labour force,6380.0
Lapua,Employed,5861.0
Lapua,Unemployed,519.0
Lapua,Persons outside the labour force,7648.0
Lapua,0-14 years old,2279.0
Lapua,"Students, pupils",910.0
Lapua,"Conscripts, persons in non-military service",26.0
Lapua,Pensioners,4045.0
Lapua,Other persons outside the labour force,388.0
Laukaa,Total,18878.0
Laukaa,Labour force,8639.0
Laukaa,Employed,7609.0
Laukaa,Unemployed,1030.0
Laukaa,Persons outside the labour force,10239.0
Laukaa,0-14 years old,3925.0
Laukaa,"Students, pupils",1293.0
Laukaa,"Conscripts, persons in non-military service",27.0
Laukaa,Pensioners,4616.0
Laukaa,Other persons outside the labour force,378.0
Lemi,Total,2849.0
Lemi,Labour force,1313.0
Lemi,Employed,1178.0
Lemi,Unemployed,135.0
Lemi,Persons outside the labour force,1536.0
Lemi,0-14 years old,465.0
Lemi,"Students, pupils",160.0
Lemi,"Conscripts, persons in non-military service",7.0
Lemi,Pensioners,843.0
Lemi,Other persons outside the labour force,61.0
Lemland,Total,2134.0
Lemland,Labour force,1051.0
Lemland,Employed,1009.0
Lemland,Unemployed,42.0
Lemland,Persons outside the labour force,1083.0
Lemland,0-14 years old,439.0
Lemland,"Students, pupils",111.0
Lemland,"Conscripts, persons in non-military service",1.0
Lemland,Pensioners,438.0
Lemland,Other persons outside the labour force,94.0
Lempäälä,Total,24854.0
Lempäälä,Labour force,12592.0
Lempäälä,Employed,11577.0
Lempäälä,Unemployed,1015.0
Lempäälä,Persons outside the labour force,12262.0
Lempäälä,0-14 years old,4994.0
Lempäälä,"Students, pupils",1935.0
Lempäälä,"Conscripts, persons in non-military service",35.0
Lempäälä,Pensioners,4740.0
Lempäälä,Other persons outside the labour force,558.0
Leppävirta,Total,8971.0
Leppävirta,Labour force,3836.0
Leppävirta,Employed,3360.0
Leppävirta,Unemployed,476.0
Leppävirta,Persons outside the labour force,5135.0
Leppävirta,0-14 years old,1145.0
Leppävirta,"Students, pupils",410.0
Leppävirta,"Conscripts, persons in non-military service",10.0
Leppävirta,Pensioners,3382.0
Leppävirta,Other persons outside the labour force,188.0
Lestijärvi,Total,665.0
Lestijärvi,Labour force,248.0
Lestijärvi,Employed,233.0
Lestijärvi,Unemployed,15.0
Lestijärvi,Persons outside the labour force,417.0
Lestijärvi,0-14 years old,99.0
Lestijärvi,"Students, pupils",39.0
Lestijärvi,"Conscripts, persons in non-military service",0.0
Lestijärvi,Pensioners,264.0
Lestijärvi,Other persons outside the labour force,15.0
Lieksa,Total,10049.0
Lieksa,Labour force,3827.0
Lieksa,Employed,3114.0
Lieksa,Unemployed,713.0
Lieksa,Persons outside the labour force,6222.0
Lieksa,0-14 years old,925.0
Lieksa,"Students, pupils",439.0
Lieksa,"Conscripts, persons in non-military service",2.0
Lieksa,Pensioners,4616.0
Lieksa,Other persons outside the labour force,240.0
Lieto,Total,20666.0
Lieto,Labour force,10387.0
Lieto,Employed,9713.0
Lieto,Unemployed,674.0
Lieto,Persons outside the labour force,10279.0
Lieto,0-14 years old,3783.0
Lieto,"Students, pupils",1357.0
Lieto,"Conscripts, persons in non-military service",34.0
Lieto,Pensioners,4730.0
Lieto,Other persons outside the labour force,375.0
Liminka,Total,10190.0
Liminka,Labour force,4675.0
Liminka,Employed,4317.0
Liminka,Unemployed,358.0
Liminka,Persons outside the labour force,5515.0
Liminka,0-14 years old,2908.0
Liminka,"Students, pupils",1017.0
Liminka,"Conscripts, persons in non-military service",33.0
Liminka,Pensioners,1378.0
Liminka,Other persons outside the labour force,179.0
Liperi,Total,11913.0
Liperi,Labour force,5637.0
Liperi,Employed,4869.0
Liperi,Unemployed,768.0
Liperi,Persons outside the labour force,6276.0
Liperi,0-14 years old,2001.0
Liperi,"Students, pupils",761.0
Liperi,"Conscripts, persons in non-military service",11.0
Liperi,Pensioners,3271.0
Liperi,Other persons outside the labour force,232.0
Lohja,Total,45687.0
Lohja,Labour force,21789.0
Lohja,Employed,19449.0
Lohja,Unemployed,2340.0
Lohja,Persons outside the labour force,23898.0
Lohja,0-14 years old,6453.0
Lohja,"Students, pupils",2991.0
Lohja,"Conscripts, persons in non-military service",65.0
Lohja,Pensioners,13152.0
Lohja,Other persons outside the labour force,1237.0
Loimaa,Total,15295.0
Loimaa,Labour force,6501.0
Loimaa,Employed,5723.0
Loimaa,Unemployed,778.0
Loimaa,Persons outside the labour force,8794.0
Loimaa,0-14 years old,1941.0
Loimaa,"Students, pupils",902.0
Loimaa,"Conscripts, persons in non-military service",23.0
Loimaa,Pensioners,5474.0
Loimaa,Other persons outside the labour force,454.0
Loppi,Total,7657.0
Loppi,Labour force,3561.0
Loppi,Employed,3283.0
Loppi,Unemployed,278.0
Loppi,Persons outside the labour force,4096.0
Loppi,0-14 years old,1100.0
Loppi,"Students, pupils",481.0
Loppi,"Conscripts, persons in non-military service",9.0
Loppi,Pensioners,2282.0
Loppi,Other persons outside the labour force,224.0
Loviisa,Total,14352.0
Loviisa,Labour force,6606.0
Loviisa,Employed,5804.0
Loviisa,Unemployed,802.0
Loviisa,Persons outside the labour force,7746.0
Loviisa,0-14 years old,1782.0
Loviisa,"Students, pupils",658.0
Loviisa,"Conscripts, persons in non-military service",21.0
Loviisa,Pensioners,4884.0
Loviisa,Other persons outside the labour force,401.0
Luhanka,Total,711.0
Luhanka,Labour force,283.0
Luhanka,Employed,252.0
Luhanka,Unemployed,31.0
Luhanka,Persons outside the labour force,428.0
Luhanka,0-14 years old,65.0
Luhanka,"Students, pupils",21.0
Luhanka,"Conscripts, persons in non-military service",1.0
Luhanka,Pensioners,324.0
Luhanka,Other persons outside the labour force,17.0
Lumijoki,Total,2008.0
Lumijoki,Labour force,847.0
Lumijoki,Employed,773.0
Lumijoki,Unemployed,74.0
Lumijoki,Persons outside the labour force,1161.0
Lumijoki,0-14 years old,478.0
Lumijoki,"Students, pupils",186.0
Lumijoki,"Conscripts, persons in non-military service",1.0
Lumijoki,Pensioners,436.0
Lumijoki,Other persons outside the labour force,60.0
Lumparland,Total,371.0
Lumparland,Labour force,172.0
Lumparland,Employed,171.0
Lumparland,Unemployed,1.0
Lumparland,Persons outside the labour force,199.0
Lumparland,0-14 years old,46.0
Lumparland,"Students, pupils",25.0
Lumparland,"Conscripts, persons in non-military service",0.0
Lumparland,Pensioners,110.0
Lumparland,Other persons outside the labour force,18.0
Larsmo,Total,5884.0
Larsmo,Labour force,2679.0
Larsmo,Employed,2611.0
Larsmo,Unemployed,68.0
Larsmo,Persons outside the labour force,3205.0
Larsmo,0-14 years old,1736.0
Larsmo,"Students, pupils",406.0
Larsmo,"Conscripts, persons in non-military service",6.0
Larsmo,Pensioners,918.0
Larsmo,Other persons outside the labour force,139.0
Luumäki,Total,4358.0
Luumäki,Labour force,1834.0
Luumäki,Employed,1609.0
Luumäki,Unemployed,225.0
Luumäki,Persons outside the labour force,2524.0
Luumäki,0-14 years old,487.0
Luumäki,"Students, pupils",217.0
Luumäki,"Conscripts, persons in non-military service",10.0
Luumäki,Pensioners,1693.0
Luumäki,Other persons outside the labour force,117.0
Malax,Total,5415.0
Malax,Labour force,2555.0
Malax,Employed,2441.0
Malax,Unemployed,114.0
Malax,Persons outside the labour force,2860.0
Malax,0-14 years old,808.0
Malax,"Students, pupils",291.0
Malax,"Conscripts, persons in non-military service",3.0
Malax,Pensioners,1664.0
Malax,Other persons outside the labour force,94.0
Mariehamn,Total,11866.0
Mariehamn,Labour force,5784.0
Mariehamn,Employed,5386.0
Mariehamn,Unemployed,398.0
Mariehamn,Persons outside the labour force,6082.0
Mariehamn,0-14 years old,1655.0
Mariehamn,"Students, pupils",697.0
Mariehamn,"Conscripts, persons in non-military service",10.0
Mariehamn,Pensioners,3199.0
Mariehamn,Other persons outside the labour force,521.0
Marttila,Total,1910.0
Marttila,Labour force,880.0
Marttila,Employed,796.0
Marttila,Unemployed,84.0
Marttila,Persons outside the labour force,1030.0
Marttila,0-14 years old,279.0
Marttila,"Students, pupils",113.0
Marttila,"Conscripts, persons in non-military service",2.0
Marttila,Pensioners,596.0
Marttila,Other persons outside the labour force,40.0
Masku,Total,9592.0
Masku,Labour force,4946.0
Masku,Employed,4640.0
Masku,Unemployed,306.0
Masku,Persons outside the labour force,4646.0
Masku,0-14 years old,1750.0
Masku,"Students, pupils",614.0
Masku,"Conscripts, persons in non-military service",27.0
Masku,Pensioners,2087.0
Masku,Other persons outside the labour force,168.0
