Area,Industry,value
MK17 North Ostrobothnia,Q Human health and social work activities (86-88) (Level 1),35862.0
MK17 North Ostrobothnia,"R Arts, entertainment and recreation (90-93) (Level 1)",2580.0
MK17 North Ostrobothnia,S Other service activities (94-96) (Level 1),4173.0
MK17 North Ostrobothnia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),463.0
MK17 North Ostrobothnia,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK17 North Ostrobothnia,X Unknown (Level 1),1798.0
MK18 Kainuu,Industries total,26914.0
MK18 Kainuu,"A Agriculture, forestry and fishing (01-03) (Level 1)",1399.0
MK18 Kainuu,B Mining and quarrying (05-09) (Level 1),906.0
MK18 Kainuu,C Manufacturing (10-33) (Level 1),2325.0
MK18 Kainuu,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",87.0
MK18 Kainuu,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",159.0
MK18 Kainuu,F Construction (41-43) (Level 1),1851.0
MK18 Kainuu,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),2405.0
MK18 Kainuu,H Transportation and storage (49-53) (Level 1),1204.0
MK18 Kainuu,I Accommodation and food service activities (55-56) (Level 1),917.0
MK18 Kainuu,J Information and communication (58-63) (Level 1),638.0
MK18 Kainuu,K Financial and insurance activities (64-66) (Level 1),270.0
MK18 Kainuu,L Real estate activities (68) (Level 1),210.0
MK18 Kainuu,"M Professional, scientific and technical activities (69-75) (Level 1)",1031.0
MK18 Kainuu,N Administrative and support service activities (77-82) (Level 1),2480.0
MK18 Kainuu,O Public administration and defence; compulsory social security (84) (Level 1),1976.0
MK18 Kainuu,P Education (85) (Level 1),1878.0
MK18 Kainuu,Q Human health and social work activities (86-88) (Level 1),5662.0
MK18 Kainuu,"R Arts, entertainment and recreation (90-93) (Level 1)",485.0
MK18 Kainuu,S Other service activities (94-96) (Level 1),689.0
MK18 Kainuu,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),122.0
MK18 Kainuu,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK18 Kainuu,X Unknown (Level 1),220.0
MK19 Lapland,Industries total,73312.0
MK19 Lapland,"A Agriculture, forestry and fishing (01-03) (Level 1)",2549.0
MK19 Lapland,B Mining and quarrying (05-09) (Level 1),1918.0
MK19 Lapland,C Manufacturing (10-33) (Level 1),6334.0
MK19 Lapland,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",448.0
MK19 Lapland,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",474.0
MK19 Lapland,F Construction (41-43) (Level 1),5106.0
MK19 Lapland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),6808.0
MK19 Lapland,H Transportation and storage (49-53) (Level 1),3620.0
MK19 Lapland,I Accommodation and food service activities (55-56) (Level 1),3987.0
MK19 Lapland,J Information and communication (58-63) (Level 1),1256.0
MK19 Lapland,K Financial and insurance activities (64-66) (Level 1),486.0
MK19 Lapland,L Real estate activities (68) (Level 1),721.0
MK19 Lapland,"M Professional, scientific and technical activities (69-75) (Level 1)",3117.0
MK19 Lapland,N Administrative and support service activities (77-82) (Level 1),6265.0
MK19 Lapland,O Public administration and defence; compulsory social security (84) (Level 1),4643.0
MK19 Lapland,P Education (85) (Level 1),5148.0
MK19 Lapland,Q Human health and social work activities (86-88) (Level 1),15614.0
MK19 Lapland,"R Arts, entertainment and recreation (90-93) (Level 1)",1602.0
MK19 Lapland,S Other service activities (94-96) (Level 1),1869.0
MK19 Lapland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),234.0
MK19 Lapland,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK19 Lapland,X Unknown (Level 1),1113.0
MK21 Åland,Industries total,14423.0
MK21 Åland,"A Agriculture, forestry and fishing (01-03) (Level 1)",511.0
MK21 Åland,B Mining and quarrying (05-09) (Level 1),12.0
MK21 Åland,C Manufacturing (10-33) (Level 1),992.0
MK21 Åland,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",118.0
MK21 Åland,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",54.0
MK21 Åland,F Construction (41-43) (Level 1),988.0
MK21 Åland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),1230.0
MK21 Åland,H Transportation and storage (49-53) (Level 1),1321.0
MK21 Åland,I Accommodation and food service activities (55-56) (Level 1),660.0
MK21 Åland,J Information and communication (58-63) (Level 1),641.0
MK21 Åland,K Financial and insurance activities (64-66) (Level 1),606.0
MK21 Åland,L Real estate activities (68) (Level 1),156.0
MK21 Åland,"M Professional, scientific and technical activities (69-75) (Level 1)",484.0
MK21 Åland,N Administrative and support service activities (77-82) (Level 1),487.0
MK21 Åland,O Public administration and defence; compulsory social security (84) (Level 1),843.0
MK21 Åland,P Education (85) (Level 1),1075.0
MK21 Åland,Q Human health and social work activities (86-88) (Level 1),2957.0
MK21 Åland,"R Arts, entertainment and recreation (90-93) (Level 1)",389.0
MK21 Åland,S Other service activities (94-96) (Level 1),455.0
MK21 Åland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),13.0
MK21 Åland,U Activities of extraterritorial organisations and bodies (99) (Level 1),1.0
MK21 Åland,X Unknown (Level 1),430.0
