Area,Income decile,value
Kauhava,II,1703.0
Kauniainen,II,400.0
Kaustinen,II,416.0
Keitele,II,226.0
Kemi,II,2261.0
Kemijärvi,II,819.0
Keminmaa,II,555.0
Kimitoön,II,589.0
Kempele,II,1468.0
Kerava,II,3690.0
Keuruu,II,1123.0
Kihniö,II,243.0
Kinnula,II,199.0
Kirkkonummi,II,2646.0
Kitee,II,1253.0
Kittilä,II,506.0
Kiuruvesi,II,981.0
Kivijärvi,II,163.0
Kokemäki,II,748.0
Kokkola,II,4746.0
Kolari,II,327.0
Konnevesi,II,326.0
Kontiolahti,II,1241.0
Korsnäs,II,207.0
Koski Tl,II,262.0
Kotka,II,5479.0
Kouvola,II,7829.0
Kristinestad,II,615.0
Kronoby,II,522.0
Kuhmo,II,991.0
Kuhmoinen,II,260.0
Kumlinge,II,20.0
Kuopio,II,13149.0
Kuortane,II,355.0
Kurikka,II,2262.0
Kustavi,II,80.0
Kuusamo,II,1741.0
Kyyjärvi,II,193.0
Kärkölä,II,454.0
Kärsämäki,II,346.0
Kökar,II,11.0
Lahti,II,14516.0
Laihia,II,625.0
Laitila,II,875.0
Lapinjärvi,II,225.0
Lapinlahti,II,957.0
Lappajärvi,II,296.0
Lappeenranta,II,7679.0
Lapua,II,1349.0
Laukaa,II,2004.0
Lemi,II,259.0
Lemland,II,103.0
Lempäälä,II,1844.0
Leppävirta,II,927.0
Lestijärvi,II,76.0
Lieksa,II,1333.0
Lieto,II,1188.0
Liminka,II,1093.0
Liperi,II,1175.0
Lohja,II,3837.0
Loimaa,II,1634.0
Loppi,II,663.0
Loviisa,II,1393.0
Luhanka,II,64.0
Lumijoki,II,289.0
Lumparland,II,14.0
Larsmo,II,560.0
Luumäki,II,500.0
Malax,II,388.0
Mariehamn,II,802.0
Marttila,II,193.0
Masku,II,458.0
Merijärvi,II,168.0
Merikarvia,II,282.0
Miehikkälä,II,205.0
Mikkeli,II,5653.0
Muhos,II,1056.0
Multia,II,173.0
Muonio,II,177.0
Korsholm,II,1271.0
Muurame,II,688.0
Mynämäki,II,723.0
Myrskylä,II,162.0
Mäntsälä,II,1469.0
Mänttä-Vilppula,II,1057.0
Mäntyharju,II,866.0
Naantali,II,1388.0
Nakkila,II,537.0
Nivala,II,1294.0
Nokia,II,3011.0
Nousiainen,II,288.0
Nurmes,II,1218.0
Nurmijärvi,II,2860.0
Närpes,II,970.0
Orimattila,II,1616.0
Oripää,II,148.0
Orivesi,II,950.0
Oulainen,II,887.0
Oulu,II,21996.0
Outokumpu,II,834.0
Padasjoki,II,361.0
Paimio,II,823.0
Paltamo,II,323.0
Pargas,II,1162.0
Parikkala,II,527.0
Parkano,II,781.0
Pedersöre,II,833.0
Pelkosenniemi,II,57.0
Pello,II,405.0
Perho,II,419.0
Petäjävesi,II,366.0
Pieksämäki,II,1973.0
Pielavesi,II,558.0
Jakobstad,II,1869.0
Pihtipudas,II,549.0
Pirkkala,II,1353.0
Polvijärvi,II,546.0
Pomarkku,II,201.0
Pori,II,9029.0
Pornainen,II,295.0
Porvoo,II,3770.0
Posio,II,335.0
Pudasjärvi,II,1083.0
Pukkila,II,163.0
Punkalaidun,II,311.0
Puolanka,II,308.0
Puumala,II,197.0
Pyhtää,II,335.0
Pyhäjoki,II,292.0
Pyhäjärvi,II,610.0
Pyhäntä,II,215.0
Pyhäranta,II,156.0
Pälkäne,II,637.0
Pöytyä,II,802.0
Raahe,II,2362.0
Raseborg,II,2493.0
Raisio,II,2235.0
Rantasalmi,II,386.0
Ranua,II,479.0
Rauma,II,3350.0
Rautalampi,II,434.0
Rautavaara,II,241.0
Rautjärvi,II,347.0
Reisjärvi,II,288.0
Riihimäki,II,2684.0
Ristijärvi,II,123.0
Rovaniemi,II,6349.0
Ruokolahti,II,415.0
Ruovesi,II,433.0
Rusko,II,295.0
Rääkkylä,II,273.0
Saarijärvi,II,1154.0
Salla,II,345.0
Salo,II,5330.0
Saltvik,II,102.0
Sastamala,II,2665.0
Sauvo,II,271.0
Savitaipale,II,429.0
Savonlinna,II,3668.0
Savukoski,II,119.0
Seinäjoki,II,6352.0
Sievi,II,769.0
Siikainen,II,155.0
Siikajoki,II,552.0
Siikalatva,II,679.0
Siilinjärvi,II,1788.0
Simo,II,244.0
Sipoo,II,1263.0
Siuntio,II,322.0
Sodankylä,II,715.0
Soini,II,197.0
Somero,II,864.0
Sonkajärvi,II,432.0
Sotkamo,II,917.0
Sottunga,II,0.0
Sulkava,II,270.0
Sund,II,57.0
Suomussalmi,II,956.0
Suonenjoki,II,874.0
Sysmä,II,462.0
Säkylä,II,563.0
Taipalsaari,II,345.0
Taivalkoski,II,494.0
Taivassalo,II,169.0
Tammela,II,415.0
Tampere,II,28888.0
Tervo,II,189.0
Tervola,II,285.0
Teuva,II,582.0
Tohmajärvi,II,511.0
Toholampi,II,399.0
Toivakka,II,259.0
Tornio,II,1858.0
Turku,II,23295.0
Tuusniemi,II,333.0
Tuusula,II,2570.0
Tyrnävä,II,898.0
Ulvila,II,1021.0
Urjala,II,555.0
Utajärvi,II,319.0
Utsjoki,II,121.0
Uurainen,II,518.0
Nykarleby,II,645.0
Uusikaupunki,II,1592.0
Vaala,II,368.0
Vaasa,II,6896.0
Valkeakoski,II,1819.0
Vantaa,II,24868.0
Varkaus,II,2312.0
Vehmaa,II,257.0
Vesanto,II,239.0
Vesilahti,II,340.0
Veteli,II,336.0
Vieremä,II,344.0
Vihti,II,1971.0
Viitasaari,II,742.0
Vimpeli,II,295.0
Virolahti,II,327.0
Virrat,II,707.0
Vårdö,II,34.0
Vörå,II,525.0
Ylitornio,II,455.0
Ylivieska,II,1691.0
Ylöjärvi,II,2564.0
Ypäjä,II,213.0
Ähtäri,II,633.0
Äänekoski,II,2052.0
MK01 Uusimaa,II,150793.0
MK02 Southwest Finland,II,47688.0
MK04 Satakunta,II,21303.0
MK05 Kanta-Häme,II,16566.0
MK06 Pirkanmaa,II,54679.0
MK07 Päijät-Häme,II,23650.0
MK08 Kymenlaakso,II,16028.0
MK09 South Karelia,II,13283.0
MK10 South Savo,II,14669.0
MK11 North Savo,II,27146.0
MK12 North Karelia,II,19131.0
MK13 Central Finland,II,30285.0
MK14 South Ostrobothnia,II,20345.0
MK15 Ostrobothnia,II,16095.0
MK16 Central Ostrobothnia,II,7059.0
MK17 North Ostrobothnia,II,45287.0
MK18 Kainuu,II,7665.0
MK19 Lapland,II,17155.0
MK21 Åland,II,1716.0
HVA01 East Uusimaa wellbeing services county,II,7310.0
HVA02 Central Uusimaa wellbeing services county,II,15011.0
HVA03 West Uusimaa wellbeing services county,II,37859.0
HVA04 Vantaa and Kerava wellbeing services county,II,28558.0
HVA05 Southwest Finland wellbeing services county,II,47688.0
HVA06 Satakunta wellbeing services county,II,21303.0
HVA07 Kanta-Häme wellbeing services county,II,16566.0
HVA08 Pirkanmaa wellbeing services county,II,54679.0
HVA09 Päijät-Häme wellbeing services county,II,23650.0
HVA10 Kymenlaakso wellbeing services county,II,16028.0
HVA11 South Karelia wellbeing services county,II,13283.0
HVA12 South Savo wellbeing services county,II,14669.0
HVA13 North Savo wellbeing services county,II,27146.0
HVA14 North Karelia wellbeing services county,II,19131.0
HVA15 Central Finland wellbeing services county,II,30285.0
HVA16 South Ostrobothnia wellbeing services county,II,20345.0
HVA17 Ostrobothnia wellbeing services county,II,16095.0
HVA18 Central Ostrobothnia wellbeing services county,II,7059.0
HVA19 North Ostrobothnia wellbeing services county,II,45287.0
HVA20 Kainuu wellbeing services county,II,7665.0
HVA21 Lapland wellbeing services county,II,17155.0
HVA90 City of Helsinki,II,62055.0
HVA91 Åland,II,1716.0
SK011 Helsinki,II,141223.0
SK014 Raasepori,II,3523.0
SK015 Porvoo,II,4429.0
SK016 Loviisa,II,1618.0
SK021 Åboland-Turunmaa,II,1751.0
SK022 Salo,II,6194.0
SK023 Turku,II,33262.0
SK024 Vakka-Suomi,II,3129.0
SK025 Loimaa,II,3352.0
SK041 Rauma,II,5531.0
SK043 Pori,II,13617.0
SK044 Pohjois-Satakunta,II,2155.0
SK051 Hämeenlinna,II,9193.0
SK052 Riihimäki,II,3998.0
SK053 Forssa,II,3375.0
SK061 Luoteis-Pirkanmaa,II,1806.0
SK063 Etelä-Pirkanmaa,II,4013.0
SK064 Tampere,II,43506.0
SK068 Lounais-Pirkanmaa,II,2976.0
SK069 Ylä-Pirkanmaa,II,2378.0
SK071 Lahti,II,23650.0
SK081 Kouvola,II,7829.0
SK082 Kotka-Hamina,II,8199.0
SK091 Lappeenranta,II,9212.0
SK093 Imatra,II,4071.0
SK101 Mikkeli,II,7576.0
SK103 Savonlinna,II,4452.0
SK105 Pieksämäki,II,2641.0
SK111 Ylä-Savo,II,5817.0
SK112 Kuopio,II,14937.0
SK113 Koillis-Savo,II,919.0
SK114 Varkaus,II,3737.0
SK115 Sisä-Savo,II,1736.0
SK122 Joensuu,II,14543.0
SK124 Keski-Karjala,II,2037.0
SK125 Pielisen Karjala,II,2551.0
SK131 Jyväskylä,II,20235.0
SK132 Joutsa,II,535.0
SK133 Keuruu,II,1296.0
SK134 Jämsä,II,2173.0
SK135 Äänekoski,II,2378.0
SK138 Saarijärvi-Viitasaari,II,3668.0
SK141 Suupohja,II,2517.0
SK142 Seinäjoki,II,13197.0
SK144 Kuusiokunnat,II,2395.0
SK146 Järviseutu,II,2236.0
SK152 Vaasa,II,9912.0
SK153 Sydösterbotten,II,1754.0
SK154 Jakobstadsregionen,II,4429.0
SK161 Kaustinen,II,1762.0
SK162 Kokkola,II,5297.0
SK171 Oulu,II,26897.0
SK173 Oulunkaari,II,2941.0
SK174 Raahe,II,3206.0
SK175 Haapavesi-Siikalatva,II,1654.0
SK176 Nivala-Haapajärvi,II,3312.0
SK177 Ylivieska,II,5042.0
SK178 Koillismaa,II,2235.0
SK181 Kehys-Kainuu,II,2510.0
SK182 Kajaani,II,5155.0
SK191 Rovaniemi,II,6828.0
SK192 Kemi-Tornio,II,5203.0
SK193 Torniolaakso,II,860.0
SK194 Itä-Lappi,II,1675.0
SK196 Tunturi-Lappi,II,1192.0
SK197 Pohjois-Lappi,II,1397.0
SK211 Mariehamns stad,II,802.0
SK212 Ålands landsbygd,II,806.0
SK213 Ålands skärgård,II,108.0
Akaa,III,1831.0
Alajärvi,III,1120.0
Alavieska,III,302.0
Alavus,III,1547.0
Asikkala,III,858.0
Askola,III,420.0
Aura,III,384.0
Brändö,III,24.0
Eckerö,III,83.0
Enonkoski,III,133.0
Enontekiö,III,200.0
Espoo,III,22830.0
Eura,III,1226.0
Eurajoki,III,759.0
Evijärvi,III,292.0
Finström,III,210.0
Forssa,III,1823.0
Föglö,III,31.0
Geta,III,54.0
Haapajärvi,III,920.0
Haapavesi,III,864.0
Hailuoto,III,136.0
Halsua,III,138.0
Hamina,III,2049.0
Hammarland,III,149.0
Hankasalmi,III,504.0
Hanko,III,782.0
Harjavalta,III,750.0
Hartola,III,323.0
Hattula,III,853.0
Hausjärvi,III,798.0
Heinola,III,1975.0
Heinävesi,III,329.0
Helsinki,III,55332.0
Hirvensalmi,III,233.0
Hollola,III,2203.0
Huittinen,III,1211.0
Humppila,III,223.0
Hyrynsalmi,III,281.0
Hyvinkää,III,4292.0
Hämeenkyrö,III,1083.0
Hämeenlinna,III,6884.0
Ii,III,1169.0
Iisalmi,III,2289.0
Iitti,III,716.0
Ikaalinen,III,841.0
Ilmajoki,III,1226.0
Ilomantsi,III,545.0
Imatra,III,2756.0
Inari,III,621.0
Ingå,III,375.0
Isojoki,III,210.0
Isokyrö,III,530.0
Janakkala,III,1554.0
Joensuu,III,8628.0
Jokioinen,III,520.0
Jomala,III,350.0
Joroinen,III,505.0
Joutsa,III,538.0
Juuka,III,574.0
Juupajoki,III,195.0
Juva,III,709.0
Jyväskylä,III,14888.0
Jämijärvi,III,187.0
Jämsä,III,1924.0
Järvenpää,III,3971.0
Kaarina,III,2648.0
Kaavi,III,329.0
Kajaani,III,3828.0
Kalajoki,III,1446.0
Kangasala,III,3093.0
Kangasniemi,III,571.0
Kankaanpää,III,1526.0
Kannonkoski,III,133.0
Kannus,III,623.0
Karijoki,III,162.0
Karkkila,III,900.0
Karstula,III,430.0
Karvia,III,255.0
Kaskinen,III,95.0
Kauhajoki,III,1557.0
Kauhava,III,1701.0
Kauniainen,III,388.0
Kaustinen,III,495.0
Keitele,III,262.0
Kemi,III,2064.0
Kemijärvi,III,818.0
Keminmaa,III,760.0
Kimitoön,III,691.0
Kempele,III,1848.0
Kerava,III,3619.0
Keuruu,III,1129.0
Kihniö,III,217.0
Kinnula,III,223.0
Kirkkonummi,III,2779.0
Kitee,III,1142.0
Kittilä,III,590.0
Kiuruvesi,III,901.0
Kivijärvi,III,159.0
Kokemäki,III,820.0
Kokkola,III,5536.0
Kolari,III,400.0
Konnevesi,III,315.0
Kontiolahti,III,1450.0
Korsnäs,III,219.0
Koski Tl,III,227.0
Kotka,III,5056.0
Kouvola,III,7896.0
Kristinestad,III,710.0
Kronoby,III,610.0
Kuhmo,III,964.0
Kuhmoinen,III,276.0
Kumlinge,III,25.0
Kuopio,III,13019.0
Kuortane,III,374.0
Kurikka,III,2316.0
Kustavi,III,72.0
Kuusamo,III,1698.0
Kyyjärvi,III,141.0
Kärkölä,III,429.0
Kärsämäki,III,338.0
Kökar,III,29.0
Lahti,III,13337.0
Laihia,III,749.0
Laitila,III,976.0
Lapinjärvi,III,271.0
Lapinlahti,III,1033.0
Lappajärvi,III,403.0
Lappeenranta,III,7394.0
Lapua,III,1543.0
Laukaa,III,2090.0
Lemi,III,358.0
Lemland,III,113.0
Lempäälä,III,2101.0
Leppävirta,III,857.0
Lestijärvi,III,67.0
Lieksa,III,1326.0
Lieto,III,1508.0
Liminka,III,1195.0
Liperi,III,1425.0
Lohja,III,4267.0
Loimaa,III,1920.0
Loppi,III,740.0
Loviisa,III,1399.0
Luhanka,III,75.0
Lumijoki,III,242.0
Lumparland,III,34.0
Larsmo,III,663.0
Luumäki,III,481.0
Malax,III,532.0
Mariehamn,III,967.0
Marttila,III,217.0
Masku,III,670.0
Merijärvi,III,164.0
Merikarvia,III,343.0
Miehikkälä,III,158.0
Mikkeli,III,5646.0
Muhos,III,1198.0
Multia,III,162.0
Muonio,III,212.0
Korsholm,III,1599.0
Muurame,III,832.0
Mynämäki,III,706.0
Myrskylä,III,157.0
Mäntsälä,III,1908.0
Mänttä-Vilppula,III,1018.0
Mäntyharju,III,819.0
Naantali,III,1522.0
Nakkila,III,514.0
Nivala,III,1310.0
Nokia,III,3291.0
Nousiainen,III,415.0
Nurmes,III,1166.0
Nurmijärvi,III,3565.0
Närpes,III,1103.0
Orimattila,III,1693.0
Oripää,III,149.0
Orivesi,III,990.0
Oulainen,III,946.0
Oulu,III,21899.0
Outokumpu,III,811.0
Padasjoki,III,335.0
Paimio,III,987.0
Paltamo,III,437.0
Pargas,III,1326.0
Parikkala,III,557.0
Parkano,III,720.0
Pedersöre,III,1395.0
Pelkosenniemi,III,120.0
Pello,III,387.0
Perho,III,406.0
Petäjävesi,III,405.0
Pieksämäki,III,2075.0
Pielavesi,III,489.0
Jakobstad,III,2052.0
Pihtipudas,III,454.0
Pirkkala,III,1582.0
Polvijärvi,III,509.0
Pomarkku,III,267.0
Pori,III,9127.0
Pornainen,III,350.0
Porvoo,III,4013.0
Posio,III,331.0
Pudasjärvi,III,1027.0
Pukkila,III,222.0
Punkalaidun,III,308.0
Puolanka,III,343.0
Puumala,III,193.0
Pyhtää,III,455.0
Pyhäjoki,III,296.0
Pyhäjärvi,III,594.0
Pyhäntä,III,253.0
Pyhäranta,III,164.0
Pälkäne,III,692.0
Pöytyä,III,944.0
Raahe,III,2478.0
Raseborg,III,2763.0
Raisio,III,2351.0
Rantasalmi,III,393.0
Ranua,III,460.0
Rauma,III,3648.0
Rautalampi,III,360.0
Rautavaara,III,209.0
Rautjärvi,III,323.0
Reisjärvi,III,343.0
Riihimäki,III,2870.0
Ristijärvi,III,141.0
Rovaniemi,III,6875.0
Ruokolahti,III,402.0
Ruovesi,III,540.0
Rusko,III,405.0
Rääkkylä,III,271.0
Saarijärvi,III,1081.0
Salla,III,376.0
Salo,III,5308.0
Saltvik,III,132.0
Sastamala,III,2583.0
Sauvo,III,319.0
Savitaipale,III,349.0
Savonlinna,III,3648.0
Savukoski,III,118.0
Seinäjoki,III,6657.0
Sievi,III,687.0
Siikainen,III,158.0
Siikajoki,III,561.0
Siikalatva,III,606.0
Siilinjärvi,III,2092.0
Simo,III,351.0
Sipoo,III,1542.0
Siuntio,III,396.0
Sodankylä,III,775.0
Soini,III,289.0
Somero,III,936.0
Sonkajärvi,III,423.0
Sotkamo,III,955.0
Sottunga,III,0.0
Sulkava,III,311.0
Sund,III,73.0
Suomussalmi,III,947.0
Suonenjoki,III,794.0
Sysmä,III,359.0
Säkylä,III,727.0
Taipalsaari,III,477.0
Taivalkoski,III,513.0
Taivassalo,III,156.0
Tammela,III,589.0
Tampere,III,26424.0
Tervo,III,168.0
Tervola,III,298.0
Teuva,III,587.0
Tohmajärvi,III,464.0
Toholampi,III,333.0
Toivakka,III,243.0
Tornio,III,1998.0
Turku,III,21514.0
Tuusniemi,III,251.0
Tuusula,III,3165.0
Tyrnävä,III,958.0
Ulvila,III,1340.0
Urjala,III,559.0
Utajärvi,III,301.0
Utsjoki,III,117.0
Uurainen,III,388.0
Nykarleby,III,799.0
Uusikaupunki,III,1555.0
Vaala,III,304.0
Vaasa,III,6871.0
Valkeakoski,III,2104.0
Vantaa,III,23038.0
Varkaus,III,2160.0
Vehmaa,III,276.0
Vesanto,III,236.0
Vesilahti,III,370.0
Veteli,III,355.0
Vieremä,III,418.0
Vihti,III,2400.0
Viitasaari,III,725.0
Vimpeli,III,294.0
Virolahti,III,274.0
Virrat,III,810.0
Vårdö,III,28.0
Vörå,III,607.0
Ylitornio,III,420.0
Ylivieska,III,1913.0
Ylöjärvi,III,2937.0
Ypäjä,III,263.0
Ähtäri,III,620.0
Äänekoski,III,1905.0
MK01 Uusimaa,III,145144.0
MK02 Southwest Finland,III,48346.0
MK04 Satakunta,III,22858.0
MK05 Kanta-Häme,III,17117.0
MK06 Pirkanmaa,III,54565.0
MK07 Päijät-Häme,III,22228.0
MK08 Kymenlaakso,III,15888.0
MK09 South Karelia,III,13097.0
MK10 South Savo,III,14731.0
MK11 North Savo,III,26795.0
MK12 North Karelia,III,18640.0
MK13 Central Finland,III,28744.0
MK14 South Ostrobothnia,III,21428.0
MK15 Ostrobothnia,III,18004.0
MK16 Central Ostrobothnia,III,7953.0
MK17 North Ostrobothnia,III,46509.0
MK18 Kainuu,III,7896.0
MK19 Lapland,III,18291.0
MK21 Åland,III,2310.0
HVA01 East Uusimaa wellbeing services county,III,8024.0
HVA02 Central Uusimaa wellbeing services county,III,17251.0
HVA03 West Uusimaa wellbeing services county,III,37880.0
HVA04 Vantaa and Kerava wellbeing services county,III,26657.0
HVA05 Southwest Finland wellbeing services county,III,48346.0
HVA06 Satakunta wellbeing services county,III,22858.0
HVA07 Kanta-Häme wellbeing services county,III,17117.0
HVA08 Pirkanmaa wellbeing services county,III,54565.0
HVA09 Päijät-Häme wellbeing services county,III,22228.0
HVA10 Kymenlaakso wellbeing services county,III,15888.0
HVA11 South Karelia wellbeing services county,III,13097.0
HVA12 South Savo wellbeing services county,III,14731.0
HVA13 North Savo wellbeing services county,III,26795.0
HVA14 North Karelia wellbeing services county,III,18640.0
HVA15 Central Finland wellbeing services county,III,28744.0
HVA16 South Ostrobothnia wellbeing services county,III,21428.0
HVA17 Ostrobothnia wellbeing services county,III,18004.0
HVA18 Central Ostrobothnia wellbeing services county,III,7953.0
HVA19 North Ostrobothnia wellbeing services county,III,46509.0
HVA20 Kainuu wellbeing services county,III,7896.0
HVA21 Lapland wellbeing services county,III,18291.0
HVA90 City of Helsinki,III,55332.0
HVA91 Åland,III,2310.0
SK011 Helsinki,III,134742.0
SK014 Raasepori,III,3920.0
SK015 Porvoo,III,4812.0
SK016 Loviisa,III,1670.0
SK021 Åboland-Turunmaa,III,2017.0
SK022 Salo,III,6244.0
SK023 Turku,III,33045.0
SK024 Vakka-Suomi,III,3199.0
SK025 Loimaa,III,3841.0
SK041 Rauma,III,6360.0
SK043 Pori,III,14372.0
SK044 Pohjois-Satakunta,III,2126.0
SK051 Hämeenlinna,III,9291.0
SK052 Riihimäki,III,4408.0
SK053 Forssa,III,3418.0
SK061 Luoteis-Pirkanmaa,III,1778.0
SK063 Etelä-Pirkanmaa,III,4494.0
SK064 Tampere,III,42839.0
SK068 Lounais-Pirkanmaa,III,2891.0
SK069 Ylä-Pirkanmaa,III,2563.0
SK071 Lahti,III,22228.0
SK081 Kouvola,III,7896.0
SK082 Kotka-Hamina,III,7992.0
SK091 Lappeenranta,III,9059.0
SK093 Imatra,III,4038.0
SK101 Mikkeli,III,7462.0
SK103 Savonlinna,III,4485.0
SK105 Pieksämäki,III,2784.0
SK111 Ylä-Savo,III,5815.0
SK112 Kuopio,III,15111.0
SK113 Koillis-Savo,III,789.0
SK114 Varkaus,III,3522.0
SK115 Sisä-Savo,III,1558.0
SK122 Joensuu,III,14271.0
SK124 Keski-Karjala,III,1877.0
SK125 Pielisen Karjala,III,2492.0
SK131 Jyväskylä,III,19350.0
SK132 Joutsa,III,613.0
SK133 Keuruu,III,1291.0
SK134 Jämsä,III,1924.0
SK135 Äänekoski,III,2220.0
SK138 Saarijärvi-Viitasaari,III,3346.0
SK141 Suupohja,III,2516.0
SK142 Seinäjoki,III,13973.0
SK144 Kuusiokunnat,III,2541.0
SK146 Järviseutu,III,2398.0
SK152 Vaasa,III,10577.0
SK153 Sydösterbotten,III,1908.0
SK154 Jakobstadsregionen,III,5519.0
SK161 Kaustinen,III,1794.0
SK162 Kokkola,III,6159.0
SK171 Oulu,III,27476.0
SK173 Oulunkaari,III,2801.0
SK174 Raahe,III,3335.0
SK175 Haapavesi-Siikalatva,III,1723.0
SK176 Nivala-Haapajärvi,III,3505.0
SK177 Ylivieska,III,5458.0
SK178 Koillismaa,III,2211.0
SK181 Kehys-Kainuu,III,2535.0
SK182 Kajaani,III,5361.0
SK191 Rovaniemi,III,7335.0
SK192 Kemi-Tornio,III,5471.0
SK193 Torniolaakso,III,807.0
SK194 Itä-Lappi,III,1763.0
SK196 Tunturi-Lappi,III,1402.0
SK197 Pohjois-Lappi,III,1513.0
SK211 Mariehamns stad,III,967.0
SK212 Ålands landsbygd,III,1198.0
SK213 Ålands skärgård,III,145.0
Akaa,IV,2021.0
Alajärvi,IV,1022.0
Alavieska,IV,288.0
Alavus,IV,1413.0
Asikkala,IV,916.0
Askola,IV,450.0
Aura,IV,410.0
Brändö,IV,22.0
Eckerö,IV,87.0
Enonkoski,IV,169.0
Enontekiö,IV,164.0
Espoo,IV,21585.0
Eura,IV,1208.0
Eurajoki,IV,774.0
Evijärvi,IV,336.0
Finström,IV,220.0
Forssa,IV,1955.0
Föglö,IV,32.0
Geta,IV,55.0
Haapajärvi,IV,786.0
Haapavesi,IV,773.0
Hailuoto,IV,87.0
Halsua,IV,103.0
Hamina,IV,2086.0
Hammarland,IV,152.0
Hankasalmi,IV,536.0
Hanko,IV,850.0
Harjavalta,IV,775.0
Hartola,IV,255.0
Hattula,IV,883.0
Hausjärvi,IV,810.0
Heinola,IV,2026.0
Heinävesi,IV,322.0
Helsinki,IV,50804.0
Hirvensalmi,IV,205.0
Hollola,IV,2421.0
Huittinen,IV,1109.0
Humppila,IV,248.0
Hyrynsalmi,IV,255.0
Hyvinkää,IV,4333.0
Hämeenkyrö,IV,1081.0
Hämeenlinna,IV,6658.0
Ii,IV,1238.0
Iisalmi,IV,2264.0
Iitti,IV,724.0
Ikaalinen,IV,739.0
Ilmajoki,IV,1493.0
Ilomantsi,IV,552.0
Imatra,IV,2671.0
Inari,IV,699.0
Ingå,IV,391.0
Isojoki,IV,206.0
Isokyrö,IV,498.0
Janakkala,IV,1717.0
Joensuu,IV,8487.0
Jokioinen,IV,584.0
Jomala,IV,365.0
Joroinen,IV,492.0
Joutsa,IV,456.0
Juuka,IV,489.0
Juupajoki,IV,161.0
Juva,IV,625.0
Jyväskylä,IV,14715.0
Jämijärvi,IV,188.0
Jämsä,IV,2152.0
Järvenpää,IV,4013.0
Kaarina,IV,3312.0
Kaavi,IV,256.0
Kajaani,IV,3973.0
Kalajoki,IV,1645.0
Kangasala,IV,3546.0
Kangasniemi,IV,584.0
Kankaanpää,IV,1374.0
Kannonkoski,IV,154.0
Kannus,IV,651.0
Karijoki,IV,132.0
Karkkila,IV,930.0
Karstula,IV,396.0
Karvia,IV,235.0
Kaskinen,IV,161.0
Kauhajoki,IV,1474.0
Kauhava,IV,1814.0
Kauniainen,IV,433.0
Kaustinen,IV,511.0
Keitele,IV,282.0
Kemi,IV,2303.0
Kemijärvi,IV,815.0
Keminmaa,IV,743.0
Kimitoön,IV,736.0
Kempele,IV,2174.0
Kerava,IV,3576.0
Keuruu,IV,1154.0
Kihniö,IV,195.0
Kinnula,IV,218.0
Kirkkonummi,IV,2963.0
Kitee,IV,1156.0
Kittilä,IV,534.0
Kiuruvesi,IV,931.0
Kivijärvi,IV,143.0
Kokemäki,IV,728.0
Kokkola,IV,5569.0
Kolari,IV,453.0
Konnevesi,IV,266.0
Kontiolahti,IV,1686.0
Korsnäs,IV,263.0
Koski Tl,IV,215.0
Kotka,IV,5508.0
Kouvola,IV,8171.0
Kristinestad,IV,694.0
Kronoby,IV,789.0
Kuhmo,IV,878.0
Kuhmoinen,IV,214.0
Kumlinge,IV,15.0
Kuopio,IV,12612.0
Kuortane,IV,429.0
Kurikka,IV,2364.0
Kustavi,IV,78.0
Kuusamo,IV,1792.0
Kyyjärvi,IV,143.0
Kärkölä,IV,464.0
Kärsämäki,IV,275.0
Kökar,IV,24.0
Lahti,IV,12486.0
Laihia,IV,758.0
Laitila,IV,1011.0
Lapinjärvi,IV,243.0
Lapinlahti,IV,1022.0
Lappajärvi,IV,349.0
Lappeenranta,IV,7344.0
Lapua,IV,1551.0
Laukaa,IV,2265.0
Lemi,IV,377.0
Lemland,IV,155.0
Lempäälä,IV,2293.0
Leppävirta,IV,993.0
Lestijärvi,IV,84.0
Lieksa,IV,1115.0
Lieto,IV,1885.0
Liminka,IV,1064.0
Liperi,IV,1334.0
Lohja,IV,4610.0
Loimaa,IV,1737.0
Loppi,IV,828.0
Loviisa,IV,1439.0
Luhanka,IV,67.0
Lumijoki,IV,246.0
Lumparland,IV,37.0
Larsmo,IV,894.0
Luumäki,IV,472.0
Malax,IV,672.0
Mariehamn,IV,1017.0
Marttila,IV,220.0
Masku,IV,759.0
Merijärvi,IV,135.0
Merikarvia,IV,358.0
Miehikkälä,IV,165.0
Mikkeli,IV,5600.0
Muhos,IV,981.0
Multia,IV,134.0
Muonio,IV,211.0
Korsholm,IV,1952.0
Muurame,IV,1093.0
Mynämäki,IV,855.0
Myrskylä,IV,153.0
Mäntsälä,IV,2145.0
Mänttä-Vilppula,IV,1202.0
Mäntyharju,IV,751.0
Naantali,IV,1758.0
Nakkila,IV,589.0
Nivala,IV,1349.0
Nokia,IV,3692.0
Nousiainen,IV,430.0
Nurmes,IV,1112.0
Nurmijärvi,IV,4006.0
Närpes,IV,1225.0
Orimattila,IV,1789.0
Oripää,IV,106.0
Orivesi,IV,1021.0
Oulainen,IV,926.0
Oulu,IV,20973.0
Outokumpu,IV,850.0
Padasjoki,IV,329.0
Paimio,IV,1238.0
Paltamo,IV,311.0
Pargas,IV,1406.0
Parikkala,IV,463.0
Parkano,IV,818.0
Pedersöre,IV,1650.0
Pelkosenniemi,IV,87.0
Pello,IV,347.0
Perho,IV,364.0
Petäjävesi,IV,437.0
Pieksämäki,IV,2127.0
