Area,Education,value
Kajaani,7 Master's or equivalent level,2426.0
Kajaani,8 Doctoral or equivalent level,122.0
Kajaani,9 Basic education,7317.0
Kalajoki,Total,10221.0
Kalajoki,3-8 A post-comprehensive level qualification,7394.0
Kalajoki,3 Upper secondary education,4839.0
Kalajoki,4 Post-secondary non-tertiary education,148.0
Kalajoki,5 Short-cycle tertiary education,854.0
Kalajoki,6 Bachelor's or equivalent level,1023.0
Kalajoki,7 Master's or equivalent level,513.0
Kalajoki,8 Doctoral or equivalent level,17.0
Kalajoki,9 Basic education,2827.0
Kangasala,Total,28054.0
Kangasala,3-8 A post-comprehensive level qualification,22206.0
Kangasala,3 Upper secondary education,11264.0
Kangasala,4 Post-secondary non-tertiary education,406.0
Kangasala,5 Short-cycle tertiary education,2523.0
Kangasala,6 Bachelor's or equivalent level,4081.0
Kangasala,7 Master's or equivalent level,3551.0
Kangasala,8 Doctoral or equivalent level,381.0
Kangasala,9 Basic education,5848.0
Kangasniemi,Total,4520.0
Kangasniemi,3-8 A post-comprehensive level qualification,3185.0
Kangasniemi,3 Upper secondary education,2054.0
Kangasniemi,4 Post-secondary non-tertiary education,47.0
Kangasniemi,5 Short-cycle tertiary education,413.0
Kangasniemi,6 Bachelor's or equivalent level,410.0
Kangasniemi,7 Master's or equivalent level,244.0
Kangasniemi,8 Doctoral or equivalent level,17.0
Kangasniemi,9 Basic education,1335.0
Kankaanpää,Total,10796.0
Kankaanpää,3-8 A post-comprehensive level qualification,7605.0
Kankaanpää,3 Upper secondary education,4962.0
Kankaanpää,4 Post-secondary non-tertiary education,170.0
Kankaanpää,5 Short-cycle tertiary education,947.0
Kankaanpää,6 Bachelor's or equivalent level,917.0
Kankaanpää,7 Master's or equivalent level,588.0
Kankaanpää,8 Doctoral or equivalent level,21.0
Kankaanpää,9 Basic education,3191.0
Kannonkoski,Total,1058.0
Kannonkoski,3-8 A post-comprehensive level qualification,738.0
Kannonkoski,3 Upper secondary education,533.0
Kannonkoski,4 Post-secondary non-tertiary education,11.0
Kannonkoski,5 Short-cycle tertiary education,87.0
Kannonkoski,6 Bachelor's or equivalent level,62.0
Kannonkoski,7 Master's or equivalent level,43.0
Kannonkoski,8 Doctoral or equivalent level,2.0
Kannonkoski,9 Basic education,320.0
Kannus,Total,4345.0
Kannus,3-8 A post-comprehensive level qualification,3135.0
Kannus,3 Upper secondary education,2126.0
Kannus,4 Post-secondary non-tertiary education,70.0
Kannus,5 Short-cycle tertiary education,329.0
Kannus,6 Bachelor's or equivalent level,408.0
Kannus,7 Master's or equivalent level,192.0
Kannus,8 Doctoral or equivalent level,10.0
Kannus,9 Basic education,1210.0
Karijoki,Total,1035.0
Karijoki,3-8 A post-comprehensive level qualification,683.0
Karijoki,3 Upper secondary education,520.0
Karijoki,4 Post-secondary non-tertiary education,12.0
Karijoki,5 Short-cycle tertiary education,60.0
Karijoki,6 Bachelor's or equivalent level,66.0
Karijoki,7 Master's or equivalent level,24.0
Karijoki,8 Doctoral or equivalent level,1.0
Karijoki,9 Basic education,352.0
Karkkila,Total,7354.0
Karkkila,3-8 A post-comprehensive level qualification,4888.0
Karkkila,3 Upper secondary education,3184.0
Karkkila,4 Post-secondary non-tertiary education,119.0
Karkkila,5 Short-cycle tertiary education,596.0
Karkkila,6 Bachelor's or equivalent level,605.0
Karkkila,7 Master's or equivalent level,364.0
Karkkila,8 Doctoral or equivalent level,20.0
Karkkila,9 Basic education,2466.0
Karstula,Total,3202.0
Karstula,3-8 A post-comprehensive level qualification,2239.0
Karstula,3 Upper secondary education,1503.0
Karstula,4 Post-secondary non-tertiary education,46.0
Karstula,5 Short-cycle tertiary education,302.0
Karstula,6 Bachelor's or equivalent level,246.0
Karstula,7 Master's or equivalent level,134.0
Karstula,8 Doctoral or equivalent level,8.0
Karstula,9 Basic education,963.0
Karvia,Total,1907.0
Karvia,3-8 A post-comprehensive level qualification,1272.0
Karvia,3 Upper secondary education,956.0
Karvia,4 Post-secondary non-tertiary education,17.0
Karvia,5 Short-cycle tertiary education,126.0
Karvia,6 Bachelor's or equivalent level,109.0
Karvia,7 Master's or equivalent level,63.0
Karvia,8 Doctoral or equivalent level,1.0
Karvia,9 Basic education,635.0
Kaskinen,Total,1083.0
Kaskinen,3-8 A post-comprehensive level qualification,724.0
Kaskinen,3 Upper secondary education,423.0
Kaskinen,4 Post-secondary non-tertiary education,12.0
Kaskinen,5 Short-cycle tertiary education,110.0
Kaskinen,6 Bachelor's or equivalent level,104.0
Kaskinen,7 Master's or equivalent level,74.0
Kaskinen,8 Doctoral or equivalent level,1.0
Kaskinen,9 Basic education,359.0
Kauhajoki,Total,10789.0
Kauhajoki,3-8 A post-comprehensive level qualification,7659.0
Kauhajoki,3 Upper secondary education,5138.0
Kauhajoki,4 Post-secondary non-tertiary education,152.0
Kauhajoki,5 Short-cycle tertiary education,1047.0
Kauhajoki,6 Bachelor's or equivalent level,864.0
Kauhajoki,7 Master's or equivalent level,441.0
Kauhajoki,8 Doctoral or equivalent level,17.0
Kauhajoki,9 Basic education,3130.0
Kauhava,Total,12986.0
Kauhava,3-8 A post-comprehensive level qualification,9054.0
Kauhava,3 Upper secondary education,5746.0
Kauhava,4 Post-secondary non-tertiary education,164.0
Kauhava,5 Short-cycle tertiary education,1303.0
Kauhava,6 Bachelor's or equivalent level,1201.0
Kauhava,7 Master's or equivalent level,622.0
Kauhava,8 Doctoral or equivalent level,18.0
Kauhava,9 Basic education,3932.0
Kauniainen,Total,8488.0
Kauniainen,3-8 A post-comprehensive level qualification,6947.0
Kauniainen,3 Upper secondary education,1713.0
Kauniainen,4 Post-secondary non-tertiary education,48.0
Kauniainen,5 Short-cycle tertiary education,764.0
Kauniainen,6 Bachelor's or equivalent level,1273.0
Kauniainen,7 Master's or equivalent level,2785.0
Kauniainen,8 Doctoral or equivalent level,364.0
Kauniainen,9 Basic education,1541.0
Kaustinen,Total,3416.0
Kaustinen,3-8 A post-comprehensive level qualification,2435.0
Kaustinen,3 Upper secondary education,1532.0
Kaustinen,4 Post-secondary non-tertiary education,70.0
Kaustinen,5 Short-cycle tertiary education,239.0
Kaustinen,6 Bachelor's or equivalent level,400.0
Kaustinen,7 Master's or equivalent level,184.0
Kaustinen,8 Doctoral or equivalent level,10.0
Kaustinen,9 Basic education,981.0
Keitele,Total,1777.0
Keitele,3-8 A post-comprehensive level qualification,1227.0
Keitele,3 Upper secondary education,859.0
Keitele,4 Post-secondary non-tertiary education,23.0
Keitele,5 Short-cycle tertiary education,148.0
Keitele,6 Bachelor's or equivalent level,126.0
Keitele,7 Master's or equivalent level,70.0
Keitele,8 Doctoral or equivalent level,1.0
Keitele,9 Basic education,550.0
Kemi,Total,16867.0
Kemi,3-8 A post-comprehensive level qualification,12293.0
Kemi,3 Upper secondary education,7855.0
Kemi,4 Post-secondary non-tertiary education,186.0
Kemi,5 Short-cycle tertiary education,1594.0
Kemi,6 Bachelor's or equivalent level,1720.0
Kemi,7 Master's or equivalent level,894.0
Kemi,8 Doctoral or equivalent level,44.0
Kemi,9 Basic education,4574.0
Kemijärvi,Total,6289.0
Kemijärvi,3-8 A post-comprehensive level qualification,4596.0
Kemijärvi,3 Upper secondary education,3032.0
Kemijärvi,4 Post-secondary non-tertiary education,65.0
Kemijärvi,5 Short-cycle tertiary education,745.0
Kemijärvi,6 Bachelor's or equivalent level,458.0
Kemijärvi,7 Master's or equivalent level,282.0
Kemijärvi,8 Doctoral or equivalent level,14.0
Kemijärvi,9 Basic education,1693.0
Keminmaa,Total,6443.0
Keminmaa,3-8 A post-comprehensive level qualification,5118.0
Keminmaa,3 Upper secondary education,2996.0
Keminmaa,4 Post-secondary non-tertiary education,91.0
Keminmaa,5 Short-cycle tertiary education,725.0
Keminmaa,6 Bachelor's or equivalent level,881.0
Keminmaa,7 Master's or equivalent level,410.0
Keminmaa,8 Doctoral or equivalent level,15.0
Keminmaa,9 Basic education,1325.0
Kimitoön,Total,5647.0
Kimitoön,3-8 A post-comprehensive level qualification,3947.0
Kimitoön,3 Upper secondary education,2311.0
Kimitoön,4 Post-secondary non-tertiary education,54.0
Kimitoön,5 Short-cycle tertiary education,586.0
Kimitoön,6 Bachelor's or equivalent level,571.0
Kimitoön,7 Master's or equivalent level,397.0
Kimitoön,8 Doctoral or equivalent level,28.0
Kimitoön,9 Basic education,1700.0
Kempele,Total,15283.0
Kempele,3-8 A post-comprehensive level qualification,12326.0
Kempele,3 Upper secondary education,6155.0
Kempele,4 Post-secondary non-tertiary education,233.0
Kempele,5 Short-cycle tertiary education,1281.0
Kempele,6 Bachelor's or equivalent level,2615.0
Kempele,7 Master's or equivalent level,1884.0
Kempele,8 Doctoral or equivalent level,158.0
Kempele,9 Basic education,2957.0
Kerava,Total,32565.0
Kerava,3-8 A post-comprehensive level qualification,23013.0
Kerava,3 Upper secondary education,12231.0
Kerava,4 Post-secondary non-tertiary education,483.0
Kerava,5 Short-cycle tertiary education,2677.0
Kerava,6 Bachelor's or equivalent level,4133.0
Kerava,7 Master's or equivalent level,3238.0
Kerava,8 Doctoral or equivalent level,251.0
Kerava,9 Basic education,9552.0
Keuruu,Total,8023.0
Keuruu,3-8 A post-comprehensive level qualification,5815.0
Keuruu,3 Upper secondary education,3737.0
Keuruu,4 Post-secondary non-tertiary education,111.0
Keuruu,5 Short-cycle tertiary education,877.0
Keuruu,6 Bachelor's or equivalent level,636.0
Keuruu,7 Master's or equivalent level,433.0
Keuruu,8 Doctoral or equivalent level,21.0
Keuruu,9 Basic education,2208.0
Kihniö,Total,1505.0
Kihniö,3-8 A post-comprehensive level qualification,1025.0
Kihniö,3 Upper secondary education,733.0
Kihniö,4 Post-secondary non-tertiary education,12.0
Kihniö,5 Short-cycle tertiary education,93.0
Kihniö,6 Bachelor's or equivalent level,136.0
Kihniö,7 Master's or equivalent level,51.0
Kihniö,8 Doctoral or equivalent level,0.0
Kihniö,9 Basic education,480.0
Kinnula,Total,1235.0
Kinnula,3-8 A post-comprehensive level qualification,806.0
Kinnula,3 Upper secondary education,570.0
Kinnula,4 Post-secondary non-tertiary education,7.0
Kinnula,5 Short-cycle tertiary education,88.0
Kinnula,6 Bachelor's or equivalent level,80.0
Kinnula,7 Master's or equivalent level,59.0
Kinnula,8 Doctoral or equivalent level,2.0
Kinnula,9 Basic education,429.0
Kirkkonummi,Total,34523.0
Kirkkonummi,3-8 A post-comprehensive level qualification,25611.0
Kirkkonummi,3 Upper secondary education,11066.0
Kirkkonummi,4 Post-secondary non-tertiary education,468.0
Kirkkonummi,5 Short-cycle tertiary education,3009.0
Kirkkonummi,6 Bachelor's or equivalent level,5048.0
Kirkkonummi,7 Master's or equivalent level,5435.0
Kirkkonummi,8 Doctoral or equivalent level,585.0
Kirkkonummi,9 Basic education,8912.0
Kitee,Total,8570.0
Kitee,3-8 A post-comprehensive level qualification,6004.0
Kitee,3 Upper secondary education,4084.0
Kitee,4 Post-secondary non-tertiary education,89.0
Kitee,5 Short-cycle tertiary education,722.0
Kitee,6 Bachelor's or equivalent level,642.0
Kitee,7 Master's or equivalent level,439.0
Kitee,8 Doctoral or equivalent level,28.0
Kitee,9 Basic education,2566.0
Kittilä,Total,5867.0
Kittilä,3-8 A post-comprehensive level qualification,4562.0
Kittilä,3 Upper secondary education,2910.0
Kittilä,4 Post-secondary non-tertiary education,125.0
Kittilä,5 Short-cycle tertiary education,445.0
Kittilä,6 Bachelor's or equivalent level,676.0
Kittilä,7 Master's or equivalent level,387.0
Kittilä,8 Doctoral or equivalent level,19.0
Kittilä,9 Basic education,1305.0
Kiuruvesi,Total,6332.0
Kiuruvesi,3-8 A post-comprehensive level qualification,4544.0
Kiuruvesi,3 Upper secondary education,3204.0
Kiuruvesi,4 Post-secondary non-tertiary education,83.0
Kiuruvesi,5 Short-cycle tertiary education,476.0
Kiuruvesi,6 Bachelor's or equivalent level,519.0
Kiuruvesi,7 Master's or equivalent level,247.0
Kiuruvesi,8 Doctoral or equivalent level,15.0
Kiuruvesi,9 Basic education,1788.0
Kivijärvi,Total,891.0
Kivijärvi,3-8 A post-comprehensive level qualification,559.0
Kivijärvi,3 Upper secondary education,440.0
Kivijärvi,4 Post-secondary non-tertiary education,8.0
Kivijärvi,5 Short-cycle tertiary education,52.0
Kivijärvi,6 Bachelor's or equivalent level,42.0
Kivijärvi,7 Master's or equivalent level,16.0
Kivijärvi,8 Doctoral or equivalent level,1.0
Kivijärvi,9 Basic education,332.0
Kokemäki,Total,5881.0
Kokemäki,3-8 A post-comprehensive level qualification,4190.0
Kokemäki,3 Upper secondary education,2759.0
Kokemäki,4 Post-secondary non-tertiary education,81.0
Kokemäki,5 Short-cycle tertiary education,564.0
Kokemäki,6 Bachelor's or equivalent level,494.0
Kokemäki,7 Master's or equivalent level,284.0
Kokemäki,8 Doctoral or equivalent level,8.0
Kokemäki,9 Basic education,1691.0
Kokkola,Total,39868.0
Kokkola,3-8 A post-comprehensive level qualification,30029.0
Kokkola,3 Upper secondary education,17392.0
Kokkola,4 Post-secondary non-tertiary education,557.0
Kokkola,5 Short-cycle tertiary education,3381.0
Kokkola,6 Bachelor's or equivalent level,5330.0
Kokkola,7 Master's or equivalent level,3187.0
Kokkola,8 Doctoral or equivalent level,182.0
Kokkola,9 Basic education,9839.0
Kolari,Total,3381.0
Kolari,3-8 A post-comprehensive level qualification,2579.0
Kolari,3 Upper secondary education,1652.0
Kolari,4 Post-secondary non-tertiary education,45.0
Kolari,5 Short-cycle tertiary education,262.0
Kolari,6 Bachelor's or equivalent level,382.0
Kolari,7 Master's or equivalent level,231.0
Kolari,8 Doctoral or equivalent level,7.0
Kolari,9 Basic education,802.0
Konnevesi,Total,2143.0
Konnevesi,3-8 A post-comprehensive level qualification,1513.0
Konnevesi,3 Upper secondary education,1008.0
Konnevesi,4 Post-secondary non-tertiary education,32.0
Konnevesi,5 Short-cycle tertiary education,208.0
Konnevesi,6 Bachelor's or equivalent level,154.0
Konnevesi,7 Master's or equivalent level,105.0
Konnevesi,8 Doctoral or equivalent level,6.0
Konnevesi,9 Basic education,630.0
Kontiolahti,Total,12087.0
Kontiolahti,3-8 A post-comprehensive level qualification,9874.0
Kontiolahti,3 Upper secondary education,5370.0
Kontiolahti,4 Post-secondary non-tertiary education,188.0
Kontiolahti,5 Short-cycle tertiary education,993.0
Kontiolahti,6 Bachelor's or equivalent level,1960.0
Kontiolahti,7 Master's or equivalent level,1244.0
Kontiolahti,8 Doctoral or equivalent level,119.0
Kontiolahti,9 Basic education,2213.0
Korsnäs,Total,1718.0
Korsnäs,3-8 A post-comprehensive level qualification,1240.0
Korsnäs,3 Upper secondary education,762.0
Korsnäs,4 Post-secondary non-tertiary education,23.0
Korsnäs,5 Short-cycle tertiary education,157.0
Korsnäs,6 Bachelor's or equivalent level,195.0
Korsnäs,7 Master's or equivalent level,99.0
Korsnäs,8 Doctoral or equivalent level,4.0
Korsnäs,9 Basic education,478.0
Koski Tl,Total,1917.0
Koski Tl,3-8 A post-comprehensive level qualification,1337.0
Koski Tl,3 Upper secondary education,901.0
Koski Tl,4 Post-secondary non-tertiary education,12.0
Koski Tl,5 Short-cycle tertiary education,146.0
Koski Tl,6 Bachelor's or equivalent level,179.0
Koski Tl,7 Master's or equivalent level,88.0
Koski Tl,8 Doctoral or equivalent level,11.0
Koski Tl,9 Basic education,580.0
Kotka,Total,44277.0
Kotka,3-8 A post-comprehensive level qualification,33098.0
Kotka,3 Upper secondary education,19676.0
Kotka,4 Post-secondary non-tertiary education,405.0
Kotka,5 Short-cycle tertiary education,4594.0
Kotka,6 Bachelor's or equivalent level,5212.0
Kotka,7 Master's or equivalent level,3078.0
Kotka,8 Doctoral or equivalent level,133.0
Kotka,9 Basic education,11179.0
Kouvola,Total,68940.0
Kouvola,3-8 A post-comprehensive level qualification,51234.0
Kouvola,3 Upper secondary education,31390.0
Kouvola,4 Post-secondary non-tertiary education,755.0
Kouvola,5 Short-cycle tertiary education,6527.0
Kouvola,6 Bachelor's or equivalent level,7794.0
Kouvola,7 Master's or equivalent level,4592.0
Kouvola,8 Doctoral or equivalent level,176.0
Kouvola,9 Basic education,17706.0
Kristinestad,Total,5376.0
Kristinestad,3-8 A post-comprehensive level qualification,3626.0
Kristinestad,3 Upper secondary education,2240.0
Kristinestad,4 Post-secondary non-tertiary education,40.0
Kristinestad,5 Short-cycle tertiary education,552.0
Kristinestad,6 Bachelor's or equivalent level,448.0
Kristinestad,7 Master's or equivalent level,333.0
Kristinestad,8 Doctoral or equivalent level,13.0
Kristinestad,9 Basic education,1750.0
Kronoby,Total,5318.0
Kronoby,3-8 A post-comprehensive level qualification,3703.0
Kronoby,3 Upper secondary education,2250.0
Kronoby,4 Post-secondary non-tertiary education,49.0
Kronoby,5 Short-cycle tertiary education,423.0
Kronoby,6 Bachelor's or equivalent level,624.0
Kronoby,7 Master's or equivalent level,350.0
Kronoby,8 Doctoral or equivalent level,7.0
Kronoby,9 Basic education,1615.0
Kuhmo,Total,6770.0
Kuhmo,3-8 A post-comprehensive level qualification,4944.0
Kuhmo,3 Upper secondary education,3555.0
Kuhmo,4 Post-secondary non-tertiary education,51.0
Kuhmo,5 Short-cycle tertiary education,573.0
Kuhmo,6 Bachelor's or equivalent level,459.0
Kuhmo,7 Master's or equivalent level,295.0
Kuhmo,8 Doctoral or equivalent level,11.0
Kuhmo,9 Basic education,1826.0
Kuhmoinen,Total,1873.0
Kuhmoinen,3-8 A post-comprehensive level qualification,1289.0
Kuhmoinen,3 Upper secondary education,811.0
Kuhmoinen,4 Post-secondary non-tertiary education,26.0
Kuhmoinen,5 Short-cycle tertiary education,189.0
Kuhmoinen,6 Bachelor's or equivalent level,148.0
Kuhmoinen,7 Master's or equivalent level,103.0
Kuhmoinen,8 Doctoral or equivalent level,12.0
Kuhmoinen,9 Basic education,584.0
Kumlinge,Total,251.0
Kumlinge,3-8 A post-comprehensive level qualification,171.0
Kumlinge,3 Upper secondary education,93.0
Kumlinge,4 Post-secondary non-tertiary education,1.0
Kumlinge,5 Short-cycle tertiary education,26.0
Kumlinge,6 Bachelor's or equivalent level,35.0
Kumlinge,7 Master's or equivalent level,14.0
Kumlinge,8 Doctoral or equivalent level,2.0
Kumlinge,9 Basic education,80.0
Kuopio,Total,108218.0
Kuopio,3-8 A post-comprehensive level qualification,86130.0
Kuopio,3 Upper secondary education,45498.0
Kuopio,4 Post-secondary non-tertiary education,1480.0
Kuopio,5 Short-cycle tertiary education,9496.0
Kuopio,6 Bachelor's or equivalent level,15944.0
Kuopio,7 Master's or equivalent level,11850.0
Kuopio,8 Doctoral or equivalent level,1862.0
Kuopio,9 Basic education,22088.0
Kuortane,Total,2933.0
Kuortane,3-8 A post-comprehensive level qualification,2041.0
Kuortane,3 Upper secondary education,1260.0
Kuortane,4 Post-secondary non-tertiary education,39.0
Kuortane,5 Short-cycle tertiary education,265.0
Kuortane,6 Bachelor's or equivalent level,300.0
Kuortane,7 Master's or equivalent level,166.0
Kuortane,8 Doctoral or equivalent level,11.0
Kuortane,9 Basic education,892.0
Kurikka,Total,16801.0
Kurikka,3-8 A post-comprehensive level qualification,12134.0
Kurikka,3 Upper secondary education,8237.0
Kurikka,4 Post-secondary non-tertiary education,243.0
Kurikka,5 Short-cycle tertiary education,1451.0
Kurikka,6 Bachelor's or equivalent level,1441.0
Kurikka,7 Master's or equivalent level,738.0
Kurikka,8 Doctoral or equivalent level,24.0
Kurikka,9 Basic education,4667.0
Kustavi,Total,899.0
Kustavi,3-8 A post-comprehensive level qualification,645.0
Kustavi,3 Upper secondary education,338.0
Kustavi,4 Post-secondary non-tertiary education,12.0
Kustavi,5 Short-cycle tertiary education,113.0
Kustavi,6 Bachelor's or equivalent level,94.0
Kustavi,7 Master's or equivalent level,80.0
Kustavi,8 Doctoral or equivalent level,8.0
Kustavi,9 Basic education,254.0
Kuusamo,Total,12844.0
Kuusamo,3-8 A post-comprehensive level qualification,9642.0
Kuusamo,3 Upper secondary education,6423.0
Kuusamo,4 Post-secondary non-tertiary education,140.0
Kuusamo,5 Short-cycle tertiary education,1147.0
Kuusamo,6 Bachelor's or equivalent level,1213.0
Kuusamo,7 Master's or equivalent level,692.0
Kuusamo,8 Doctoral or equivalent level,27.0
Kuusamo,9 Basic education,3202.0
Kyyjärvi,Total,976.0
Kyyjärvi,3-8 A post-comprehensive level qualification,619.0
Kyyjärvi,3 Upper secondary education,438.0
Kyyjärvi,4 Post-secondary non-tertiary education,9.0
Kyyjärvi,5 Short-cycle tertiary education,76.0
Kyyjärvi,6 Bachelor's or equivalent level,64.0
Kyyjärvi,7 Master's or equivalent level,32.0
Kyyjärvi,8 Doctoral or equivalent level,0.0
Kyyjärvi,9 Basic education,357.0
Kärkölä,Total,3603.0
Kärkölä,3-8 A post-comprehensive level qualification,2451.0
Kärkölä,3 Upper secondary education,1660.0
Kärkölä,4 Post-secondary non-tertiary education,46.0
Kärkölä,5 Short-cycle tertiary education,292.0
Kärkölä,6 Bachelor's or equivalent level,283.0
Kärkölä,7 Master's or equivalent level,162.0
Kärkölä,8 Doctoral or equivalent level,8.0
Kärkölä,9 Basic education,1152.0
Kärsämäki,Total,1977.0
Kärsämäki,3-8 A post-comprehensive level qualification,1359.0
Kärsämäki,3 Upper secondary education,1027.0
Kärsämäki,4 Post-secondary non-tertiary education,26.0
Kärsämäki,5 Short-cycle tertiary education,105.0
Kärsämäki,6 Bachelor's or equivalent level,137.0
Kärsämäki,7 Master's or equivalent level,62.0
Kärsämäki,8 Doctoral or equivalent level,2.0
Kärsämäki,9 Basic education,618.0
Kökar,Total,215.0
Kökar,3-8 A post-comprehensive level qualification,153.0
Kökar,3 Upper secondary education,94.0
Kökar,4 Post-secondary non-tertiary education,2.0
Kökar,5 Short-cycle tertiary education,16.0
Kökar,6 Bachelor's or equivalent level,28.0
Kökar,7 Master's or equivalent level,12.0
Kökar,8 Doctoral or equivalent level,1.0
Kökar,9 Basic education,62.0
Lahti,Total,105121.0
Lahti,3-8 A post-comprehensive level qualification,76764.0
Lahti,3 Upper secondary education,43105.0
Lahti,4 Post-secondary non-tertiary education,1308.0
Lahti,5 Short-cycle tertiary education,8952.0
Lahti,6 Bachelor's or equivalent level,13677.0
Lahti,7 Master's or equivalent level,9143.0
Lahti,8 Doctoral or equivalent level,579.0
Lahti,9 Basic education,28357.0
Laihia,Total,6318.0
Laihia,3-8 A post-comprehensive level qualification,4745.0
Laihia,3 Upper secondary education,2644.0
Laihia,4 Post-secondary non-tertiary education,91.0
Laihia,5 Short-cycle tertiary education,564.0
Laihia,6 Bachelor's or equivalent level,873.0
Laihia,7 Master's or equivalent level,552.0
Laihia,8 Doctoral or equivalent level,21.0
Laihia,9 Basic education,1573.0
Laitila,Total,7165.0
Laitila,3-8 A post-comprehensive level qualification,4813.0
Laitila,3 Upper secondary education,3228.0
Laitila,4 Post-secondary non-tertiary education,98.0
Laitila,5 Short-cycle tertiary education,548.0
Laitila,6 Bachelor's or equivalent level,608.0
Laitila,7 Master's or equivalent level,315.0
Laitila,8 Doctoral or equivalent level,16.0
Laitila,9 Basic education,2352.0
Lapinjärvi,Total,2123.0
Lapinjärvi,3-8 A post-comprehensive level qualification,1419.0
Lapinjärvi,3 Upper secondary education,912.0
Lapinjärvi,4 Post-secondary non-tertiary education,31.0
Lapinjärvi,5 Short-cycle tertiary education,171.0
Lapinjärvi,6 Bachelor's or equivalent level,170.0
Lapinjärvi,7 Master's or equivalent level,125.0
Lapinjärvi,8 Doctoral or equivalent level,10.0
Lapinjärvi,9 Basic education,704.0
Lapinlahti,Total,7679.0
Lapinlahti,3-8 A post-comprehensive level qualification,5561.0
Lapinlahti,3 Upper secondary education,3729.0
Lapinlahti,4 Post-secondary non-tertiary education,100.0
Lapinlahti,5 Short-cycle tertiary education,638.0
Lapinlahti,6 Bachelor's or equivalent level,701.0
Lapinlahti,7 Master's or equivalent level,363.0
Lapinlahti,8 Doctoral or equivalent level,30.0
Lapinlahti,9 Basic education,2118.0
Lappajärvi,Total,2392.0
Lappajärvi,3-8 A post-comprehensive level qualification,1715.0
Lappajärvi,3 Upper secondary education,1130.0
Lappajärvi,4 Post-secondary non-tertiary education,19.0
Lappajärvi,5 Short-cycle tertiary education,219.0
Lappajärvi,6 Bachelor's or equivalent level,209.0
Lappajärvi,7 Master's or equivalent level,128.0
Lappajärvi,8 Doctoral or equivalent level,10.0
Lappajärvi,9 Basic education,677.0
Lappeenranta,Total,64055.0
Lappeenranta,3-8 A post-comprehensive level qualification,48668.0
Lappeenranta,3 Upper secondary education,27180.0
Lappeenranta,4 Post-secondary non-tertiary education,585.0
Lappeenranta,5 Short-cycle tertiary education,5617.0
Lappeenranta,6 Bachelor's or equivalent level,8472.0
Lappeenranta,7 Master's or equivalent level,6116.0
Lappeenranta,8 Doctoral or equivalent level,698.0
Lappeenranta,9 Basic education,15387.0
Lapua,Total,11749.0
Lapua,3-8 A post-comprehensive level qualification,8723.0
Lapua,3 Upper secondary education,5089.0
Lapua,4 Post-secondary non-tertiary education,142.0
Lapua,5 Short-cycle tertiary education,1272.0
Lapua,6 Bachelor's or equivalent level,1368.0
Lapua,7 Master's or equivalent level,835.0
Lapua,8 Doctoral or equivalent level,17.0
Lapua,9 Basic education,3026.0
Laukaa,Total,14953.0
Laukaa,3-8 A post-comprehensive level qualification,11451.0
Laukaa,3 Upper secondary education,6735.0
Laukaa,4 Post-secondary non-tertiary education,280.0
Laukaa,5 Short-cycle tertiary education,1245.0
Laukaa,6 Bachelor's or equivalent level,1858.0
Laukaa,7 Master's or equivalent level,1223.0
Laukaa,8 Doctoral or equivalent level,110.0
Laukaa,9 Basic education,3502.0
Lemi,Total,2384.0
Lemi,3-8 A post-comprehensive level qualification,1778.0
Lemi,3 Upper secondary education,1095.0
Lemi,4 Post-secondary non-tertiary education,29.0
Lemi,5 Short-cycle tertiary education,197.0
Lemi,6 Bachelor's or equivalent level,269.0
Lemi,7 Master's or equivalent level,170.0
Lemi,8 Doctoral or equivalent level,18.0
Lemi,9 Basic education,606.0
Lemland,Total,1695.0
Lemland,3-8 A post-comprehensive level qualification,1292.0
Lemland,3 Upper secondary education,687.0
Lemland,4 Post-secondary non-tertiary education,20.0
Lemland,5 Short-cycle tertiary education,188.0
Lemland,6 Bachelor's or equivalent level,253.0
Lemland,7 Master's or equivalent level,136.0
Lemland,8 Doctoral or equivalent level,8.0
Lemland,9 Basic education,403.0
Lempäälä,Total,19860.0
Lempäälä,3-8 A post-comprehensive level qualification,15872.0
Lempäälä,3 Upper secondary education,7566.0
Lempäälä,4 Post-secondary non-tertiary education,336.0
Lempäälä,5 Short-cycle tertiary education,1623.0
Lempäälä,6 Bachelor's or equivalent level,3064.0
Lempäälä,7 Master's or equivalent level,3014.0
Lempäälä,8 Doctoral or equivalent level,269.0
Lempäälä,9 Basic education,3988.0
Leppävirta,Total,7826.0
Leppävirta,3-8 A post-comprehensive level qualification,5847.0
Leppävirta,3 Upper secondary education,3655.0
Leppävirta,4 Post-secondary non-tertiary education,88.0
Leppävirta,5 Short-cycle tertiary education,788.0
Leppävirta,6 Bachelor's or equivalent level,810.0
Leppävirta,7 Master's or equivalent level,475.0
Leppävirta,8 Doctoral or equivalent level,31.0
Leppävirta,9 Basic education,1979.0
Lestijärvi,Total,566.0
Lestijärvi,3-8 A post-comprehensive level qualification,399.0
Lestijärvi,3 Upper secondary education,269.0
Lestijärvi,4 Post-secondary non-tertiary education,4.0
Lestijärvi,5 Short-cycle tertiary education,47.0
Lestijärvi,6 Bachelor's or equivalent level,46.0
Lestijärvi,7 Master's or equivalent level,33.0
Lestijärvi,8 Doctoral or equivalent level,0.0
Lestijärvi,9 Basic education,167.0
Lieksa,Total,9124.0
Lieksa,3-8 A post-comprehensive level qualification,6399.0
